state,district,date,lifecycle_friction_score,friction_level
Andhra Pradesh,Karimnagar,2025-10-31,1.479611650485437,High
Andhra Pradesh,Khammam,2025-09-30,7.681045751633987,High
Andhra Pradesh,Khammam,2025-10-31,2.3066666666666666,High
Andhra Pradesh,Krishna,2025-09-30,4.9410593028519685,High
Andhra Pradesh,Krishna,2025-10-31,1.1189931350114417,High
Andhra Pradesh,Kurnool,2025-09-30,3.453835104854927,High
Andhra Pradesh,Kurnool,2025-10-31,0.6969047619047619,High
Andhra Pradesh,Mahabub Nagar,2025-09-30,4.042559523809524,High
Andhra Pradesh,Mahabub Nagar,2025-10-31,0.7461224489795919,High
Andhra Pradesh,Mahabubnagar,2025-09-30,8.533333333333333,High
Andhra Pradesh,Mahabubnagar,2025-10-31,1.2000000000000002,High
Andhra Pradesh,Mahbubnagar,2025-09-30,5.472473867595819,High
Andhra Pradesh,Mahbubnagar,2025-10-31,1.0984126984126985,High
Andhra Pradesh,Medak,2025-09-30,4.376727272727273,High
Andhra Pradesh,Medak,2025-10-31,0.7926605504587156,High
Andhra Pradesh,N. T. R,2025-09-30,3.9952542372881354,High
Andhra Pradesh,N. T. R,2025-10-31,2.3333333333333335,High
Andhra Pradesh,Nalgonda,2025-09-30,7.304132231404958,High
Andhra Pradesh,Nalgonda,2025-10-31,2.1340314136125658,High
Andhra Pradesh,Nandyal,2025-09-30,2.684347826086957,High
Andhra Pradesh,Nandyal,2025-10-31,1.1400000000000001,High
Andhra Pradesh,Nellore,2025-09-30,3.6276679841897237,High
Andhra Pradesh,Nellore,2025-10-31,0.926647564469914,High
Andhra Pradesh,Nizamabad,2025-09-30,4.647179487179487,High
Andhra Pradesh,Nizamabad,2025-10-31,0.6565217391304348,High
Andhra Pradesh,Palnadu,2025-09-30,2.0309859154929577,High
Andhra Pradesh,Palnadu,2025-10-31,1.4055045871559635,High
Andhra Pradesh,Parvathipuram Manyam,2025-09-30,2.575141242937853,High
Andhra Pradesh,Parvathipuram Manyam,2025-10-31,0.9876543209876543,High
Andhra Pradesh,Prakasam,2025-07-31,48.49113924050633,High
Andhra Pradesh,Prakasam,2025-09-30,3.1628858311640013,High
Andhra Pradesh,Prakasam,2025-10-31,1.085597548518897,High
Andhra Pradesh,Rangareddi,2025-09-30,5.922397476340694,High
Andhra Pradesh,Rangareddi,2025-10-31,0.7112627986348123,High
Andhra Pradesh,Spsr Nellore,2025-03-31,0.0,Low
Andhra Pradesh,Spsr Nellore,2025-06-30,0.0,Low
Andhra Pradesh,Spsr Nellore,2025-07-31,0.0,Low
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09-30,1.4315412186379928,High
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10-31,0.7336405529953918,High
Andhra Pradesh,Sri Sathya Sai,2025-09-30,2.4486692015209126,High
Andhra Pradesh,Sri Sathya Sai,2025-10-31,1.5786259541984733,High
Andhra Pradesh,Srikakulam,2025-09-30,5.164924838940586,High
Andhra Pradesh,Srikakulam,2025-10-31,1.670049099836334,High
Andhra Pradesh,Tirupati,2025-09-30,1.3987034035656403,High
Andhra Pradesh,Tirupati,2025-10-31,1.5338582677165356,High
Andhra Pradesh,Visakhapatanam,2025-06-30,0.0,Low
Andhra Pradesh,Visakhapatnam,2025-09-30,5.277851822814583,High
Andhra Pradesh,Visakhapatnam,2025-10-31,0.9467826086956523,High
Andhra Pradesh,Vizianagaram,2025-09-30,4.630448222565688,High
Andhra Pradesh,Vizianagaram,2025-10-31,1.1118518518518519,High
Andhra Pradesh,Warangal,2025-09-30,12.061696658097686,High
Andhra Pradesh,Warangal,2025-10-31,1.8062500000000001,High
Andhra Pradesh,West Godavari,2025-09-30,4.628728179551122,High
Andhra Pradesh,West Godavari,2025-10-31,1.0727762803234502,High
Andhra Pradesh,Y. S. R,2025-09-30,2.9243027888446216,High
Andhra Pradesh,Y. S. R,2025-10-31,1.3955555555555557,High
Arunachal Pradesh,Anjaw,2025-09-30,3.7047619047619045,High
Arunachal Pradesh,Anjaw,2025-10-31,4.800000000000001,High
Arunachal Pradesh,Changlang,2025-09-30,2.56037296037296,High
Arunachal Pradesh,Changlang,2025-10-31,0.3703703703703704,High
Arunachal Pradesh,Dibang Valley,2025-09-30,4.65,High
Arunachal Pradesh,Dibang Valley,2025-10-31,0.26666666666666666,High
Arunachal Pradesh,East Kameng,2025-09-30,7.273684210526316,High
Arunachal Pradesh,East Kameng,2025-10-31,0.9793103448275862,High
Arunachal Pradesh,East Siang,2025-09-30,3.9178571428571427,High
Arunachal Pradesh,East Siang,2025-10-31,3.16,High
Arunachal Pradesh,Kamle,2025-09-30,2.6500000000000004,High
Arunachal Pradesh,Kamle,2025-10-31,0.0,Low
Arunachal Pradesh,Kra Daadi,2025-09-30,2.552941176470588,High
Arunachal Pradesh,Kra Daadi,2025-10-31,0.24615384615384617,High
Arunachal Pradesh,Kurung Kumey,2025-09-30,6.953846153846154,High
Arunachal Pradesh,Kurung Kumey,2025-10-31,1.2400000000000002,High
Arunachal Pradesh,Leparada,2025-09-30,2.5999999999999996,High
Arunachal Pradesh,Lohit,2025-09-30,5.75,High
Arunachal Pradesh,Lohit,2025-10-31,1.0476190476190477,High
Arunachal Pradesh,Longding,2025-07-31,0.5057356608478802,High
Arunachal Pradesh,Longding,2025-09-30,0.86,High
Arunachal Pradesh,Longding,2025-10-31,0.17777777777777778,High
Arunachal Pradesh,Lower Dibang Valley,2025-09-30,3.8093023255813954,High
Arunachal Pradesh,Lower Dibang Valley,2025-10-31,1.0736842105263158,High
Arunachal Pradesh,Lower Siang,2025-09-30,3.25,High
Arunachal Pradesh,Lower Siang,2025-10-31,0.6666666666666667,High
Arunachal Pradesh,Lower Subansiri,2025-09-30,5.540909090909091,High
Arunachal Pradesh,Lower Subansiri,2025-10-31,1.2000000000000002,High
Arunachal Pradesh,Namsai,2025-09-30,5.0131147540983605,High
Arunachal Pradesh,Namsai,2025-10-31,0.5866666666666667,High
Arunachal Pradesh,Pakke Kessang,2025-09-30,8.8,High
Arunachal Pradesh,Pakke Kessang,2025-10-31,1.2000000000000002,High
Arunachal Pradesh,Papum Pare,2025-09-30,5.418867924528302,High
Arunachal Pradesh,Papum Pare,2025-10-31,0.6588235294117647,High
Arunachal Pradesh,Shi-yomi,2025-09-30,3.9200000000000004,High
Arunachal Pradesh,Shi-yomi,2025-10-31,3.8000000000000003,High
Arunachal Pradesh,Siang,2025-09-30,1.2351351351351352,High
Arunachal Pradesh,Siang,2025-10-31,0.32000000000000006,High
Arunachal Pradesh,Tawang,2025-09-30,1.602857142857143,High
Arunachal Pradesh,Tawang,2025-10-31,0.9894736842105264,High
Arunachal Pradesh,Tirap,2025-09-30,4.838461538461538,High
Arunachal Pradesh,Tirap,2025-10-31,1.3142857142857143,High
Arunachal Pradesh,Upper Siang,2025-09-30,9.813333333333334,High
Arunachal Pradesh,Upper Siang,2025-10-31,3.2,High
Arunachal Pradesh,Upper Subansiri,2025-09-30,4.6,High
Arunachal Pradesh,Upper Subansiri,2025-10-31,0.4,High
Arunachal Pradesh,West Kameng,2025-07-31,4.272289156626505,High
Arunachal Pradesh,West Kameng,2025-09-30,4.870731707317073,High
Arunachal Pradesh,West Kameng,2025-10-31,0.9764705882352942,High
Arunachal Pradesh,West Siang,2025-09-30,6.195,High
Arunachal Pradesh,West Siang,2025-10-31,0.6451612903225806,High
Assam,Bajali,2025-09-30,3.216666666666667,High
Assam,Bajali,2025-10-31,3.6,High
Assam,Baksa,2025-03-31,49.315789473684205,High
Assam,Baksa,2025-04-30,1.7098330241187383,High
Assam,Baksa,2025-05-31,14.590243902439024,High
Assam,Baksa,2025-06-30,13.153846153846153,High
Assam,Baksa,2025-07-31,3.8127272727272725,High
Assam,Baksa,2025-09-30,1.3901269393511988,High
Assam,Baksa,2025-10-31,0.48510638297872344,High
Assam,Barpeta,2025-03-31,119.95294117647059,High
Assam,Barpeta,2025-04-30,33.40186046511628,High
Assam,Barpeta,2025-05-31,33.35737704918033,High
Assam,Barpeta,2025-06-30,3.8534351145038164,High
Assam,Barpeta,2025-07-31,0.8954659375712006,High
Assam,Barpeta,2025-09-30,2.064235548352242,High
Assam,Barpeta,2025-10-31,0.5664639443961773,High
Assam,Biswanath,2025-04-30,4.2863999999999995,High
Assam,Biswanath,2025-09-30,2.541839762611276,High
Assam,Biswanath,2025-10-31,1.1474452554744525,High
Assam,Bongaigaon,2025-03-31,48.16404494382023,High
Assam,Bongaigaon,2025-04-30,11.008672086720868,High
Assam,Bongaigaon,2025-05-31,11.94578313253012,High
Assam,Bongaigaon,2025-06-30,24.63934426229508,High
Assam,Bongaigaon,2025-07-31,9.239603960396039,High
Assam,Bongaigaon,2025-09-30,2.3851276359600444,High
Assam,Bongaigaon,2025-10-31,0.9078125,High
Assam,Cachar,2025-04-30,4.238787185354691,High
Assam,Cachar,2025-06-30,1.6404411764705882,High
Assam,Cachar,2025-07-31,0.8277200749191214,High
Assam,Cachar,2025-09-30,1.8106843777071902,High
Assam,Cachar,2025-10-31,0.6708904109589042,High
Assam,Charaideo,2025-04-30,1.083934426229508,High
Assam,Charaideo,2025-05-31,7.116,High
Assam,Charaideo,2025-09-30,4.28494983277592,High
Assam,Charaideo,2025-10-31,1.3333333333333335,High
Assam,Chirang,2025-03-31,25.97857142857143,High
Assam,Chirang,2025-04-30,3.4179894179894177,High
Assam,Chirang,2025-07-31,1.0368220015278837,High
Assam,Chirang,2025-09-30,1.8900195694716242,High
Assam,Chirang,2025-10-31,1.2253521126760565,High
Assam,Darrang,2025-04-30,2.320727848101266,High
Assam,Darrang,2025-05-31,3.1058035714285714,High
Assam,Darrang,2025-06-30,12.948979591836734,High
Assam,Darrang,2025-07-31,6.653696498054474,High
Assam,Darrang,2025-09-30,1.3391255605381165,High
Assam,Darrang,2025-10-31,0.3309041835357625,High
Assam,Dhemaji,2025-03-31,32.19294117647059,High
Assam,Dhemaji,2025-04-30,3.204914004914005,High
Assam,Dhemaji,2025-05-31,1.7390862944162437,High
Assam,Dhemaji,2025-06-30,2.7284810126582277,High
Assam,Dhemaji,2025-07-31,0.49527186761229314,High
Assam,Dhemaji,2025-09-30,2.3041942604856516,High
Assam,Dhemaji,2025-10-31,0.5128404669260701,High
Assam,Dhubri,2025-03-31,16.465384615384615,High
Assam,Dhubri,2025-04-30,3.8151270207852193,High
Assam,Dhubri,2025-06-30,4.829357798165137,High
Assam,Dhubri,2025-07-31,4.450587172538392,High
Assam,Dhubri,2025-09-30,1.4342648211021154,High
Assam,Dhubri,2025-10-31,0.41938046068308177,High
Assam,Dibrugarh,2025-03-31,80.37222222222222,High
Assam,Dibrugarh,2025-04-30,5.994163424124514,High
Assam,Dibrugarh,2025-05-31,4.6031249999999995,High
Assam,Dibrugarh,2025-06-30,2.295845697329377,High
Assam,Dibrugarh,2025-07-31,0.9140096618357488,High
Assam,Dibrugarh,2025-09-30,2.566930693069307,High
Assam,Dibrugarh,2025-10-31,0.727927927927928,High
Assam,Dima Hasao,2025-06-30,0.0,Low
Assam,Dima Hasao,2025-07-31,0.0,Low
Assam,Dima Hasao,2025-09-30,0.6615384615384616,High
Assam,Dima Hasao,2025-10-31,0.5,High
Assam,Goalpara,2025-04-30,1.7969072164948454,High
Assam,Goalpara,2025-05-31,1.4765685019206145,High
Assam,Goalpara,2025-06-30,14.264999999999999,High
Assam,Goalpara,2025-07-31,0.7359558316080056,High
Assam,Goalpara,2025-09-30,1.2104283054003724,High
Assam,Goalpara,2025-10-31,0.537649063032368,High
Assam,Golaghat,2025-04-30,0.9759274525968672,High
Assam,Golaghat,2025-05-31,0.5130434782608696,High
Assam,Golaghat,2025-06-30,0.7750197628458498,High
Assam,Golaghat,2025-07-31,0.3791294321130008,High
Assam,Golaghat,2025-09-30,1.465686274509804,High
Assam,Golaghat,2025-10-31,0.7895238095238096,High
Assam,Hailakandi,2025-04-30,2.134341252699784,High
Assam,Hailakandi,2025-07-31,2.58503937007874,High
Assam,Hailakandi,2025-09-30,1.2444444444444445,High
Assam,Hailakandi,2025-10-31,0.5045372050816698,High
Assam,Hojai,2025-03-31,23.90112359550562,High
Assam,Hojai,2025-04-30,2.2736559139784944,High
Assam,Hojai,2025-06-30,3.084065934065934,High
Assam,Hojai,2025-07-31,0.8195949128591616,High
Assam,Hojai,2025-09-30,1.8469050894085284,High
Assam,Hojai,2025-10-31,0.7018348623853212,High
Assam,Jorhat,2025-04-30,1.716923076923077,High
Assam,Jorhat,2025-05-31,14.077777777777778,High
Assam,Jorhat,2025-06-30,11.475,High
Assam,Jorhat,2025-07-31,0.87527352297593,High
Assam,Jorhat,2025-09-30,1.8294685990338162,High
Assam,Jorhat,2025-10-31,0.5384269662921349,High
Assam,Kamrup,2025-03-31,61.65652173913043,High
Assam,Kamrup,2025-04-30,4.183232628398791,High
Assam,Kamrup,2025-05-31,1.7120096560048281,High
Assam,Kamrup,2025-06-30,8.402898550724636,High
Assam,Kamrup,2025-07-31,0.682702418506835,High
Assam,Kamrup,2025-09-30,1.7012,High
Assam,Kamrup,2025-10-31,0.5120921305182342,High
Assam,Kamrup Metro,2025-04-30,2.964745762711864,High
Assam,Kamrup Metro,2025-05-31,11.514814814814814,High
Assam,Kamrup Metro,2025-06-30,7.372413793103448,High
Assam,Kamrup Metro,2025-07-31,3.807465618860511,High
Assam,Kamrup Metro,2025-09-30,1.9885382059800665,High
Assam,Kamrup Metro,2025-10-31,0.26513629842180775,High
Assam,Karbi Anglong,2025-04-30,1.283227848101266,High
Assam,Karbi Anglong,2025-05-31,0.971177015755329,High
Assam,Karbi Anglong,2025-09-30,1.915399120050283,High
Assam,Karbi Anglong,2025-10-31,0.7611650485436894,High
Assam,Karimganj,2025-04-30,2.0394146341463415,High
Assam,Karimganj,2025-05-31,1.7203679369250984,High
Assam,Karimganj,2025-06-30,2.076555023923445,High
Assam,Karimganj,2025-07-31,0.5494796594134342,High
Assam,Karimganj,2025-09-30,0.7520079820404091,High
Assam,Karimganj,2025-10-31,0.5100591715976331,High
Assam,Kokrajhar,2025-03-31,9.388235294117647,High
Assam,Kokrajhar,2025-04-30,6.18936170212766,High
Assam,Kokrajhar,2025-05-31,3.3648648648648645,High
Assam,Kokrajhar,2025-06-30,4.964459930313589,High
Assam,Kokrajhar,2025-07-31,2.485416666666666,High
Assam,Kokrajhar,2025-09-30,1.7148825065274151,High
Assam,Kokrajhar,2025-10-31,0.4466666666666667,High
Assam,Lakhimpur,2025-03-31,32.849504950495046,High
Assam,Lakhimpur,2025-04-30,3.3420168067226887,High
Assam,Lakhimpur,2025-05-31,1.9967871485943776,High
Assam,Lakhimpur,2025-06-30,2.0993348115299333,High
Assam,Lakhimpur,2025-07-31,1.6880351262349067,High
Assam,Lakhimpur,2025-09-30,1.5635645798082347,High
Assam,Lakhimpur,2025-10-31,0.7778966131907309,High
Assam,Majuli,2025-07-31,1.3542857142857143,High
Assam,Majuli,2025-09-30,1.8993939393939394,High
Assam,Majuli,2025-10-31,0.9513513513513514,High
Assam,Marigaon,2025-03-31,6.516849816849817,High
Assam,Marigaon,2025-04-30,3.4144556267154615,High
Assam,Marigaon,2025-05-31,3.8095238095238093,High
Assam,Marigaon,2025-06-30,1.682307692307692,High
Assam,Marigaon,2025-07-31,1.0192338387869113,High
Assam,Marigaon,2025-09-30,1.6726530612244899,High
Assam,Marigaon,2025-10-31,0.47239263803680986,High
Assam,Nagaon,2025-03-31,124.6392857142857,High
Assam,Nagaon,2025-04-30,10.602835051546393,High
Assam,Nagaon,2025-06-30,28.203846153846154,High
Assam,Nagaon,2025-07-31,3.3520661157024794,High
Assam,Nagaon,2025-09-30,2.444559585492228,High
Assam,Nagaon,2025-10-31,0.9364839319470699,High
Assam,Nalbari,2025-04-30,5.8110497237569065,High
Assam,Nalbari,2025-05-31,2.6585365853658534,High
Assam,Nalbari,2025-09-30,1.7439238653001463,High
Assam,Nalbari,2025-10-31,0.5050847457627119,High
Assam,North Cachar Hills,2025-04-30,0.4102941176470588,High
Assam,North Cachar Hills,2025-05-31,2.5558441558441554,High
Assam,North Cachar Hills,2025-09-30,4.016666666666667,High
Assam,North Cachar Hills,2025-10-31,0.2727272727272727,High
Assam,Sibsagar,2025-04-30,1.0414507772020725,High
Assam,Sibsagar,2025-05-31,2.509333333333333,High
Assam,Sibsagar,2025-09-30,2.0546816479400754,High
Assam,Sibsagar,2025-10-31,0.399,High
Assam,Sivasagar,2025-06-30,0.0,Low
Assam,Sivasagar,2025-07-31,0.0,Low
Assam,Sonitpur,2025-03-31,40.46913580246913,High
Assam,Sonitpur,2025-04-30,6.97258064516129,High
Assam,Sonitpur,2025-05-31,7.1667984189723315,High
Assam,Sonitpur,2025-06-30,4.53169014084507,High
Assam,Sonitpur,2025-07-31,1.5833009708737864,High
Assam,Sonitpur,2025-09-30,1.2764393268379095,High
Assam,Sonitpur,2025-10-31,0.5958469945355191,High
Assam,South Salmara Mankachar,2025-04-30,1.0149350649350648,High
Assam,South Salmara Mankachar,2025-09-30,1.97625,High
Assam,South Salmara Mankachar,2025-10-31,0.9209302325581397,High
Assam,Sribhumi,2025-09-30,3.4869565217391307,High
Assam,Sribhumi,2025-10-31,2.0631578947368423,High
Assam,Tamulpur District,2025-09-30,3.453333333333333,High
Assam,Tamulpur District,2025-10-31,2.177777777777778,High
Assam,Tinsukia,2025-03-31,6.590985915492958,High
Assam,Tinsukia,2025-04-30,1.2774974772956609,High
Assam,Tinsukia,2025-05-31,1.948,High
Assam,Tinsukia,2025-07-31,0.6672516952532908,High
Assam,Tinsukia,2025-09-30,1.5124125874125873,High
Assam,Tinsukia,2025-10-31,1.175115207373272,High
Assam,Udalguri,2025-03-31,30.45111111111111,High
Assam,Udalguri,2025-04-30,1.7378761061946901,High
Assam,Udalguri,2025-05-31,2.2650822669104205,High
Assam,Udalguri,2025-09-30,1.6481818181818182,High
Assam,Udalguri,2025-10-31,0.5350125944584383,High
Assam,West Karbi Anglong,2025-04-30,0.43478260869565216,High
Assam,West Karbi Anglong,2025-05-31,0.4037593984962406,High
Assam,West Karbi Anglong,2025-06-30,0.21152542372881356,High
Assam,West Karbi Anglong,2025-07-31,0.3,High
Assam,West Karbi Anglong,2025-09-30,2.382122905027933,High
Assam,West Karbi Anglong,2025-10-31,0.34,High
Bihar,Araria,2025-06-30,4.723389021479713,High
Bihar,Araria,2025-07-31,36.51875,High
Bihar,Araria,2025-09-30,2.8456391875746716,High
Bihar,Araria,2025-10-31,0.7960252935862693,High
Bihar,Arwal,2025-05-31,9.149282296650718,High
Bihar,Arwal,2025-07-31,4.3021782178217824,High
Bihar,Arwal,2025-09-30,2.3098982423681775,High
Bihar,Arwal,2025-10-31,0.25804311774461025,High
Bihar,Aurangabad,2025-09-30,2.61024,High
Bihar,Aurangabad,2025-10-31,0.5147075525269733,High
Bihar,Aurangabad(BH),2025-09-30,1.2000000000000002,High
Bihar,Aurangabad(bh),2025-09-30,1.5631578947368423,High
Bihar,Aurangabad(bh),2025-10-31,1.0333333333333334,High
Bihar,Banka,2025-06-30,6.106461538461538,High
Bihar,Banka,2025-07-31,14.19532710280374,High
Bihar,Banka,2025-09-30,2.7278254649499285,High
Bihar,Banka,2025-10-31,0.4152359295054008,High
Bihar,Begusarai,2025-07-31,13.422047244094488,High
Bihar,Begusarai,2025-09-30,2.8412632668910174,High
Bihar,Begusarai,2025-10-31,0.5011073663938372,High
Bihar,Bhabua,2025-09-30,0.8200000000000001,High
Bihar,Bhabua,2025-10-31,0.05714285714285714,High
Bihar,Bhagalpur,2025-03-31,293.00845070422537,High
Bihar,Bhagalpur,2025-04-30,12.77269789983845,High
Bihar,Bhagalpur,2025-05-31,3.2295793758480325,High
Bihar,Bhagalpur,2025-06-30,2.1375584415584417,High
Bihar,Bhagalpur,2025-07-31,19.90556552962298,High
Bihar,Bhagalpur,2025-09-30,2.765398274987316,High
Bihar,Bhagalpur,2025-10-31,0.6681341719077568,High
Bihar,Bhojpur,2025-07-31,8.848359659781288,High
Bihar,Bhojpur,2025-09-30,3.377733371395946,High
Bihar,Bhojpur,2025-10-31,0.6389348025711663,High
Bihar,Buxar,2025-09-30,1.8667471819645733,High
Bihar,Buxar,2025-10-31,0.6594594594594595,High
Bihar,Darbhanga,2025-06-30,27.34821428571429,High
Bihar,Darbhanga,2025-09-30,2.661948249619482,High
Bihar,Darbhanga,2025-10-31,0.5319444444444444,High
Bihar,East Champaran,2025-04-30,5.106663376110562,High
Bihar,East Champaran,2025-05-31,3.1336291038154394,High
Bihar,East Champaran,2025-09-30,2.449765904709446,High
Bihar,East Champaran,2025-10-31,0.8404721753794266,High
Bihar,Gaya,2025-04-30,10.396562835660578,High
Bihar,Gaya,2025-05-31,5.082261545101424,High
Bihar,Gaya,2025-06-30,5.923930269413629,High
Bihar,Gaya,2025-07-31,4.007222914072229,High
Bihar,Gaya,2025-09-30,2.5403043170559094,High
Bihar,Gaya,2025-10-31,0.3995049504950495,High
Bihar,Gopalganj,2025-05-31,8.621609702315325,High
Bihar,Gopalganj,2025-06-30,3.7062605752961084,High
Bihar,Gopalganj,2025-07-31,3.0452438602559666,High
Bihar,Gopalganj,2025-09-30,2.220615183246073,High
Bihar,Gopalganj,2025-10-31,0.5903656413232734,High
Bihar,Jamui,2025-04-30,4.3177304964539,High
Bihar,Jamui,2025-05-31,10.242545454545454,High
Bihar,Jamui,2025-06-30,5.855440414507771,High
Bihar,Jamui,2025-09-30,2.219469795740982,High
Bihar,Jamui,2025-10-31,0.48393094289508637,High
Bihar,Jehanabad,2025-04-30,8.138755980861244,High
Bihar,Jehanabad,2025-07-31,10.1625,High
Bihar,Jehanabad,2025-09-30,2.59768875192604,High
Bihar,Jehanabad,2025-10-31,0.4328697850821745,High
Bihar,Kaimur (Bhabua),2025-04-30,18.430252100840335,High
Bihar,Kaimur (Bhabua),2025-05-31,5.309711846318035,High
Bihar,Kaimur (Bhabua),2025-06-30,7.220253164556961,High
Bihar,Kaimur (Bhabua),2025-07-31,8.812391930835735,High
Bihar,Kaimur (Bhabua),2025-09-30,3.039529411764706,High
Bihar,Kaimur (Bhabua),2025-10-31,0.949937106918239,High
Bihar,Katihar,2025-05-31,26.87030303030303,High
Bihar,Katihar,2025-06-30,13.201827411167512,High
Bihar,Katihar,2025-09-30,3.243723185972766,High
Bihar,Katihar,2025-10-31,0.6571959836370398,High
Bihar,Khagaria,2025-09-30,2.193348852677087,High
Bihar,Khagaria,2025-10-31,0.40766161213088586,High
Bihar,Kishanganj,2025-09-30,6.442372322899506,High
Bihar,Kishanganj,2025-10-31,0.5051353874883286,High
Bihar,Lakhisarai,2025-06-30,3.658015267175572,High
Bihar,Lakhisarai,2025-07-31,2.163805970149254,High
Bihar,Lakhisarai,2025-09-30,3.369939183318853,High
Bihar,Lakhisarai,2025-10-31,0.8245283018867925,High
Bihar,Madhepura,2025-09-30,3.0255927475592745,High
Bihar,Madhepura,2025-10-31,1.0552713661883968,High
Bihar,Madhubani,2025-03-31,84.95939393939393,High
Bihar,Madhubani,2025-04-30,26.20450160771704,High
Bihar,Madhubani,2025-05-31,9.175342465753424,High
Bihar,Madhubani,2025-06-30,5.705567010309278,High
Bihar,Madhubani,2025-07-31,7.539654367118168,High
Bihar,Madhubani,2025-09-30,2.534091354636346,High
Bihar,Madhubani,2025-10-31,0.37078459343794584,High
Bihar,Monghyr,2025-09-30,1.95,High
Bihar,Monghyr,2025-10-31,0.24,High
Bihar,Munger,2025-04-30,9.229735234215886,High
Bihar,Munger,2025-06-30,7.7290640394088665,High
Bihar,Munger,2025-07-31,5.713304721030043,High
Bihar,Munger,2025-09-30,2.6221671826625386,High
Bihar,Munger,2025-10-31,0.4595238095238095,High
Bihar,Muzaffarpur,2025-03-31,345.65405405405403,High
Bihar,Muzaffarpur,2025-04-30,10.061847774054572,High
Bihar,Muzaffarpur,2025-05-31,3.3944113605130553,High
Bihar,Muzaffarpur,2025-06-30,3.356160761501851,High
Bihar,Muzaffarpur,2025-07-31,7.168171242438343,High
Bihar,Muzaffarpur,2025-09-30,2.7896399706098456,High
Bihar,Muzaffarpur,2025-10-31,0.6480814408770557,High
Bihar,Nalanda,2025-06-30,5.0312625250501,High
Bihar,Nalanda,2025-07-31,4.473469387755102,High
