state,district,date_x,lifecycle_friction_score,Lifecycle_Friction,date_y,udr,udr_level,Next_Month_Demand,recommended_action
Andaman and Nicobar Islands,North And Middle Andaman,2025-10-31,0.8,High,2025-10-31,2.0,High Dependency,Low Demand,No action required
Andaman and Nicobar Islands,South Andaman,2025-09-30,14.124137931034484,High,2025-09-30,24.63793103448276,High Dependency,Low Demand,No action required
Andaman and Nicobar Islands,South Andaman,2025-09-30,14.124137931034484,High,2025-10-31,1.4166666666666667,Medium Dependency,Low Demand,No action required
Andaman and Nicobar Islands,South Andaman,2025-10-31,0.5666666666666668,High,2025-09-30,24.63793103448276,High Dependency,Low Demand,No action required
Andaman and Nicobar Islands,South Andaman,2025-10-31,0.5666666666666668,High,2025-10-31,1.4166666666666667,Medium Dependency,Low Demand,No action required
Andhra Pradesh,Adilabad,2025-09-30,7.835779816513762,High,2025-09-30,14.087155963302752,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Adilabad,2025-09-30,7.835779816513762,High,2025-10-31,5.21256038647343,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Adilabad,2025-10-31,2.085024154589372,High,2025-09-30,14.087155963302752,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Adilabad,2025-10-31,2.085024154589372,High,2025-10-31,5.21256038647343,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,2.7085271317829456,High,2025-09-30,5.007751937984496,High Dependency,Low Demand,No action required
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,2.7085271317829456,High,2025-10-31,2.176190476190476,High Dependency,Low Demand,No action required
Andhra Pradesh,Alluri Sitharama Raju,2025-10-31,0.8704761904761904,High,2025-09-30,5.007751937984496,High Dependency,Low Demand,No action required
Andhra Pradesh,Alluri Sitharama Raju,2025-10-31,0.8704761904761904,High,2025-10-31,2.176190476190476,High Dependency,Low Demand,No action required
Andhra Pradesh,Anakapalli,2025-09-30,2.9866666666666664,High,2025-09-30,6.2,High Dependency,Low Demand,No action required
Andhra Pradesh,Anakapalli,2025-09-30,2.9866666666666664,High,2025-10-31,3.4615384615384617,High Dependency,Low Demand,No action required
Andhra Pradesh,Anakapalli,2025-10-31,1.3846153846153848,High,2025-09-30,6.2,High Dependency,Low Demand,No action required
Andhra Pradesh,Anakapalli,2025-10-31,1.3846153846153848,High,2025-10-31,3.4615384615384617,High Dependency,Low Demand,No action required
Andhra Pradesh,Anantapur,2025-09-30,3.2919308357348704,High,2025-09-30,6.282420749279539,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Anantapur,2025-09-30,3.2919308357348704,High,2025-10-31,3.306089743589744,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Anantapur,2025-10-31,1.3224358974358976,High,2025-09-30,6.282420749279539,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Anantapur,2025-10-31,1.3224358974358976,High,2025-10-31,3.306089743589744,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapur,2025-09-30,3.98984238178634,High,2025-09-30,7.302977232924693,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Ananthapur,2025-09-30,3.98984238178634,High,2025-10-31,3.7231270358306183,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Ananthapur,2025-10-31,1.4892508143322476,High,2025-09-30,7.302977232924693,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Ananthapur,2025-10-31,1.4892508143322476,High,2025-10-31,3.7231270358306183,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Ananthapuramu,2025-09-30,2.827338129496403,High,2025-09-30,5.19218910585817,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Ananthapuramu,2025-09-30,2.827338129496403,High,2025-10-31,2.5369928400954653,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Ananthapuramu,2025-10-31,1.0147971360381862,High,2025-09-30,5.19218910585817,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Ananthapuramu,2025-10-31,1.0147971360381862,High,2025-10-31,2.5369928400954653,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-09-30,2.2065359477124185,High,2025-09-30,4.647058823529412,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-09-30,2.2065359477124185,High,2025-10-31,6.277777777777778,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-10-31,2.511111111111111,High,2025-09-30,4.647058823529412,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-10-31,2.511111111111111,High,2025-10-31,6.277777777777778,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Bapatla,2025-09-30,3.107462686567164,High,2025-09-30,6.67910447761194,High Dependency,Low Demand,No action required
Andhra Pradesh,Bapatla,2025-09-30,3.107462686567164,High,2025-10-31,3.1265822784810124,High Dependency,Low Demand,No action required
Andhra Pradesh,Bapatla,2025-10-31,1.250632911392405,High,2025-09-30,6.67910447761194,High Dependency,Low Demand,No action required
Andhra Pradesh,Bapatla,2025-10-31,1.250632911392405,High,2025-10-31,3.1265822784810124,High Dependency,Low Demand,No action required
Andhra Pradesh,Chittoor,2025-09-30,3.634681181959565,High,2025-09-30,6.861975116640746,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-09-30,3.634681181959565,High,2025-10-31,2.8890829694323146,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-10-31,1.1556331877729258,High,2025-09-30,6.861975116640746,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-10-31,1.1556331877729258,High,2025-10-31,2.8890829694323146,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-09-30,3.697968659315148,High,2025-09-30,6.948926291352293,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-09-30,3.697968659315148,High,2025-10-31,2.9677790563866515,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-10-31,1.1871116225546607,High,2025-09-30,6.948926291352293,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-10-31,1.1871116225546607,High,2025-10-31,2.9677790563866515,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09-30,2.610909090909091,High,2025-09-30,5.431818181818182,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09-30,2.610909090909091,High,2025-10-31,4.511904761904762,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10-31,1.8047619047619048,High,2025-09-30,5.431818181818182,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10-31,1.8047619047619048,High,2025-10-31,4.511904761904762,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,East Godavari,2025-09-30,4.7169796244506585,High,2025-09-30,8.87015581302437,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-09-30,4.7169796244506585,High,2025-10-31,2.872858431018936,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-10-31,1.1491433724075744,High,2025-09-30,8.87015581302437,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-10-31,1.1491433724075744,High,2025-10-31,2.872858431018936,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Eluru,2025-09-30,4.347252747252748,High,2025-09-30,9.247252747252746,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-09-30,4.347252747252748,High,2025-10-31,4.159090909090909,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-10-31,1.6636363636363638,High,2025-09-30,9.247252747252746,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-10-31,1.6636363636363638,High,2025-10-31,4.159090909090909,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Guntur,2025-09-30,3.731513828238719,High,2025-09-30,7.055312954876274,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-09-30,3.731513828238719,High,2025-10-31,2.906408094435076,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-10-31,1.1625632377740305,High,2025-09-30,7.055312954876274,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-10-31,1.1625632377740305,High,2025-10-31,2.906408094435076,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Hyderabad,2025-09-30,4.544064386317907,High,2025-09-30,8.042924211938297,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Hyderabad,2025-09-30,4.544064386317907,High,2025-10-31,1.238341968911917,Medium Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Hyderabad,2025-10-31,0.4953367875647668,High,2025-09-30,8.042924211938297,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Hyderabad,2025-10-31,0.4953367875647668,High,2025-10-31,1.238341968911917,Medium Dependency,Medium Demand,Extend working hours
Andhra Pradesh,K.V.Rangareddy,2025-09-30,4.703448275862068,High,2025-09-30,8.310344827586206,High Dependency,Low Demand,No action required
Andhra Pradesh,K.V.Rangareddy,2025-09-30,4.703448275862068,High,2025-10-31,2.1,High Dependency,Low Demand,No action required
Andhra Pradesh,K.V.Rangareddy,2025-10-31,0.8400000000000001,High,2025-09-30,8.310344827586206,High Dependency,Low Demand,No action required
Andhra Pradesh,K.V.Rangareddy,2025-10-31,0.8400000000000001,High,2025-10-31,2.1,High Dependency,Low Demand,No action required
Andhra Pradesh,K.v. Rangareddy,2025-09-30,8.057142857142857,High,2025-09-30,14.285714285714286,High Dependency,Low Demand,No action required
Andhra Pradesh,K.v. Rangareddy,2025-09-30,8.057142857142857,High,2025-10-31,0.8571428571428571,Medium Dependency,Low Demand,No action required
Andhra Pradesh,K.v. Rangareddy,2025-10-31,0.3428571428571428,High,2025-09-30,14.285714285714286,High Dependency,Low Demand,No action required
Andhra Pradesh,K.v. Rangareddy,2025-10-31,0.3428571428571428,High,2025-10-31,0.8571428571428571,Medium Dependency,Low Demand,No action required
Andhra Pradesh,Kakinada,2025-09-30,3.0324723247232472,High,2025-09-30,6.527675276752768,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Kakinada,2025-09-30,3.0324723247232472,High,2025-10-31,3.08125,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Kakinada,2025-10-31,1.2325,High,2025-09-30,6.527675276752768,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Kakinada,2025-10-31,1.2325,High,2025-10-31,3.08125,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Karim Nagar,2025-09-30,7.691666666666666,High,2025-09-30,13.916666666666666,High Dependency,Low Demand,No action required
Andhra Pradesh,Karim Nagar,2025-09-30,7.691666666666666,High,2025-10-31,2.25,High Dependency,Low Demand,No action required
Andhra Pradesh,Karim Nagar,2025-10-31,0.9,High,2025-09-30,13.916666666666666,High Dependency,Low Demand,No action required
Andhra Pradesh,Karim Nagar,2025-10-31,0.9,High,2025-10-31,2.25,High Dependency,Low Demand,No action required
Andhra Pradesh,Karimnagar,2025-09-30,7.656000000000001,High,2025-09-30,13.70181818181818,High Dependency,Low Demand,No action required
Andhra Pradesh,Karimnagar,2025-09-30,7.656000000000001,High,2025-10-31,3.699029126213592,High Dependency,Low Demand,No action required
Andhra Pradesh,Karimnagar,2025-10-31,1.479611650485437,High,2025-09-30,13.70181818181818,High Dependency,Low Demand,No action required
Andhra Pradesh,Karimnagar,2025-10-31,1.479611650485437,High,2025-10-31,3.699029126213592,High Dependency,Low Demand,No action required
Andhra Pradesh,Khammam,2025-09-30,7.681045751633987,High,2025-09-30,14.348583877995642,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Khammam,2025-09-30,7.681045751633987,High,2025-10-31,5.766666666666667,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Khammam,2025-10-31,2.306666666666666,High,2025-09-30,14.348583877995642,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Khammam,2025-10-31,2.306666666666666,High,2025-10-31,5.766666666666667,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Krishna,2025-09-30,4.9410593028519685,High,2025-09-30,9.16568583069262,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-09-30,4.9410593028519685,High,2025-10-31,2.7974828375286043,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-10-31,1.1189931350114417,High,2025-09-30,9.16568583069262,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-10-31,1.1189931350114417,High,2025-10-31,2.7974828375286043,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-09-30,3.453835104854927,High,2025-09-30,6.305084745762712,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-09-30,3.453835104854927,High,2025-10-31,1.7422619047619048,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-10-31,0.6969047619047619,High,2025-09-30,6.305084745762712,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-10-31,0.6969047619047619,High,2025-10-31,1.7422619047619048,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Mahabub Nagar,2025-09-30,4.042559523809524,High,2025-09-30,7.382440476190476,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Mahabub Nagar,2025-09-30,4.042559523809524,High,2025-10-31,1.8653061224489795,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Mahabub Nagar,2025-10-31,0.7461224489795919,High,2025-09-30,7.382440476190476,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Mahabub Nagar,2025-10-31,0.7461224489795919,High,2025-10-31,1.8653061224489795,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Mahabubnagar,2025-09-30,8.533333333333333,High,2025-09-30,14.666666666666666,High Dependency,Low Demand,No action required
Andhra Pradesh,Mahabubnagar,2025-09-30,8.533333333333333,High,2025-10-31,3.0,High Dependency,Low Demand,No action required
Andhra Pradesh,Mahabubnagar,2025-10-31,1.2000000000000002,High,2025-09-30,14.666666666666666,High Dependency,Low Demand,No action required
Andhra Pradesh,Mahabubnagar,2025-10-31,1.2000000000000002,High,2025-10-31,3.0,High Dependency,Low Demand,No action required
Andhra Pradesh,Mahbubnagar,2025-09-30,5.472473867595819,High,2025-09-30,10.010452961672474,High Dependency,Low Demand,No action required
Andhra Pradesh,Mahbubnagar,2025-09-30,5.472473867595819,High,2025-10-31,2.746031746031746,High Dependency,Low Demand,No action required
Andhra Pradesh,Mahbubnagar,2025-10-31,1.0984126984126985,High,2025-09-30,10.010452961672474,High Dependency,Low Demand,No action required
Andhra Pradesh,Mahbubnagar,2025-10-31,1.0984126984126985,High,2025-10-31,2.746031746031746,High Dependency,Low Demand,No action required
Andhra Pradesh,Medak,2025-09-30,4.376727272727273,High,2025-09-30,7.821818181818182,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Medak,2025-09-30,4.376727272727273,High,2025-10-31,1.981651376146789,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Medak,2025-10-31,0.7926605504587156,High,2025-09-30,7.821818181818182,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Medak,2025-10-31,0.7926605504587156,High,2025-10-31,1.981651376146789,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,N. T. R,2025-09-30,3.995254237288136,High,2025-09-30,8.447457627118643,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,N. T. R,2025-09-30,3.995254237288136,High,2025-10-31,5.833333333333333,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,N. T. R,2025-10-31,2.333333333333333,High,2025-09-30,8.447457627118643,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,N. T. R,2025-10-31,2.333333333333333,High,2025-10-31,5.833333333333333,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nalgonda,2025-09-30,7.304132231404958,High,2025-09-30,13.700413223140496,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nalgonda,2025-09-30,7.304132231404958,High,2025-10-31,5.335078534031414,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nalgonda,2025-10-31,2.1340314136125658,High,2025-09-30,13.700413223140496,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nalgonda,2025-10-31,2.1340314136125658,High,2025-10-31,5.335078534031414,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-09-30,2.684347826086957,High,2025-09-30,5.439130434782609,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-09-30,2.684347826086957,High,2025-10-31,2.85,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-10-31,1.14,High,2025-09-30,5.439130434782609,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-10-31,1.14,High,2025-10-31,2.85,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Nellore,2025-09-30,3.627667984189724,High,2025-09-30,6.815923207227555,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nellore,2025-09-30,3.627667984189724,High,2025-10-31,2.316618911174785,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nellore,2025-10-31,0.926647564469914,High,2025-09-30,6.815923207227555,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nellore,2025-10-31,0.926647564469914,High,2025-10-31,2.316618911174785,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nizamabad,2025-09-30,4.647179487179487,High,2025-09-30,8.394871794871795,High Dependency,Low Demand,No action required
Andhra Pradesh,Nizamabad,2025-09-30,4.647179487179487,High,2025-10-31,1.641304347826087,High Dependency,Low Demand,No action required
Andhra Pradesh,Nizamabad,2025-10-31,0.6565217391304348,High,2025-09-30,8.394871794871795,High Dependency,Low Demand,No action required
Andhra Pradesh,Nizamabad,2025-10-31,0.6565217391304348,High,2025-10-31,1.641304347826087,High Dependency,Low Demand,No action required
Andhra Pradesh,Palnadu,2025-09-30,2.0309859154929577,High,2025-09-30,4.176056338028169,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Palnadu,2025-09-30,2.0309859154929577,High,2025-10-31,3.5137614678899083,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Palnadu,2025-10-31,1.4055045871559635,High,2025-09-30,4.176056338028169,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Palnadu,2025-10-31,1.4055045871559635,High,2025-10-31,3.5137614678899083,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Parvathipuram Manyam,2025-09-30,2.575141242937853,High,2025-09-30,4.870056497175141,High Dependency,Low Demand,No action required
Andhra Pradesh,Parvathipuram Manyam,2025-09-30,2.575141242937853,High,2025-10-31,2.469135802469136,High Dependency,Low Demand,No action required
Andhra Pradesh,Parvathipuram Manyam,2025-10-31,0.9876543209876544,High,2025-09-30,4.870056497175141,High Dependency,Low Demand,No action required
Andhra Pradesh,Parvathipuram Manyam,2025-10-31,0.9876543209876544,High,2025-10-31,2.469135802469136,High Dependency,Low Demand,No action required
Andhra Pradesh,Prakasam,2025-07-31,48.49113924050633,High,2025-07-31,81.72151898734177,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-07-31,48.49113924050633,High,2025-09-30,6.046857567869096,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-07-31,48.49113924050633,High,2025-10-31,2.7139938712972422,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-09-30,3.1628858311640013,High,2025-07-31,81.72151898734177,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-09-30,3.1628858311640013,High,2025-09-30,6.046857567869096,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-09-30,3.1628858311640013,High,2025-10-31,2.7139938712972422,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-10-31,1.085597548518897,High,2025-07-31,81.72151898734177,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-10-31,1.085597548518897,High,2025-09-30,6.046857567869096,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-10-31,1.085597548518897,High,2025-10-31,2.7139938712972422,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Rangareddi,2025-09-30,5.922397476340694,High,2025-09-30,10.501577287066246,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Rangareddi,2025-09-30,5.922397476340694,High,2025-10-31,1.7781569965870307,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Rangareddi,2025-10-31,0.7112627986348123,High,2025-09-30,10.501577287066246,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Rangareddi,2025-10-31,0.7112627986348123,High,2025-10-31,1.7781569965870307,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Spsr Nellore,2025-03-31,0.0,Low,2025-03-31,0.0,Low Dependency,,
Andhra Pradesh,Spsr Nellore,2025-03-31,0.0,Low,2025-06-30,0.0,Low Dependency,,
Andhra Pradesh,Spsr Nellore,2025-03-31,0.0,Low,2025-07-31,0.0,Low Dependency,,
Andhra Pradesh,Spsr Nellore,2025-06-30,0.0,Low,2025-03-31,0.0,Low Dependency,,
Andhra Pradesh,Spsr Nellore,2025-06-30,0.0,Low,2025-06-30,0.0,Low Dependency,,
Andhra Pradesh,Spsr Nellore,2025-06-30,0.0,Low,2025-07-31,0.0,Low Dependency,,
Andhra Pradesh,Spsr Nellore,2025-07-31,0.0,Low,2025-03-31,0.0,Low Dependency,,
Andhra Pradesh,Spsr Nellore,2025-07-31,0.0,Low,2025-06-30,0.0,Low Dependency,,
Andhra Pradesh,Spsr Nellore,2025-07-31,0.0,Low,2025-07-31,0.0,Low Dependency,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09-30,1.4315412186379928,High,2025-09-30,3.0448028673835124,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09-30,1.4315412186379928,High,2025-10-31,1.8341013824884795,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10-31,0.7336405529953918,High,2025-09-30,3.0448028673835124,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10-31,0.7336405529953918,High,2025-10-31,1.8341013824884795,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-09-30,2.4486692015209126,High,2025-09-30,5.034220532319392,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-09-30,2.4486692015209126,High,2025-10-31,3.946564885496183,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-10-31,1.5786259541984733,High,2025-09-30,5.034220532319392,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-10-31,1.5786259541984733,High,2025-10-31,3.946564885496183,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Srikakulam,2025-09-30,5.164924838940586,High,2025-09-30,9.758052970651397,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-09-30,5.164924838940586,High,2025-10-31,4.175122749590835,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-10-31,1.670049099836334,High,2025-09-30,9.758052970651397,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-10-31,1.670049099836334,High,2025-10-31,4.175122749590835,High Dependency,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Tirupati,2025-09-30,1.3987034035656405,High,2025-09-30,2.978930307941653,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Tirupati,2025-09-30,1.3987034035656405,High,2025-10-31,3.8346456692913375,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Tirupati,2025-10-31,1.5338582677165356,High,2025-09-30,2.978930307941653,High Dependency,Medium Demand,Extend working hours
Andhra Pradesh,Tirupati,2025-10-31,1.5338582677165356,High,2025-10-31,3.8346456692913375,High Dependency,Medium Demand,Extend working hours
