state,district,date,pincode,bio_age_5_17,bio_age_17_
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06-30,15464658,668,528
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07-31,6932151,182,300
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09-30,177573944,190,292
Andhra Pradesh,East Godavari,2025-03-31,70246207,18286,11512
Andhra Pradesh,East Godavari,2025-04-30,71284433,39510,11585
Andhra Pradesh,East Godavari,2025-05-31,73424939,29904,11079
Andhra Pradesh,East Godavari,2025-06-30,72917622,30081,12219
Andhra Pradesh,East Godavari,2025-07-31,68643335,12528,13506
Andhra Pradesh,East Godavari,2025-09-30,1181947255,7110,7519
Andhra Pradesh,Eluru,2025-03-31,5836751,171,308
Andhra Pradesh,Eluru,2025-04-30,8482928,402,462
Andhra Pradesh,Eluru,2025-05-31,15898670,801,734
Andhra Pradesh,Eluru,2025-06-30,16431973,899,693
Andhra Pradesh,Eluru,2025-07-31,7949223,235,374
Andhra Pradesh,Eluru,2025-09-30,192412715,211,379
Andhra Pradesh,Guntur,2025-03-31,55368290,19655,11604
Andhra Pradesh,Guntur,2025-04-30,54845978,40190,11344
Andhra Pradesh,Guntur,2025-05-31,54845978,28530,12010
Andhra Pradesh,Guntur,2025-06-30,55368290,28176,13524
Andhra Pradesh,Guntur,2025-07-31,54323668,11415,14196
Andhra Pradesh,Guntur,2025-09-30,880152681,4701,7794
Andhra Pradesh,Hyderabad,2025-03-31,24501761,2070,9936
Andhra Pradesh,Hyderabad,2025-04-30,23001599,1935,8839
Andhra Pradesh,Hyderabad,2025-05-31,26001898,2418,8605
Andhra Pradesh,Hyderabad,2025-06-30,25001749,2416,9534
Andhra Pradesh,Hyderabad,2025-07-31,26502020,3151,12504
Andhra Pradesh,Hyderabad,2025-09-30,513039596,1992,7900
Andhra Pradesh,K.V.Rangareddy,2025-07-31,501509,10,12
Andhra Pradesh,K.V.Rangareddy,2025-09-30,72268178,33,167
Andhra Pradesh,K.v. Rangareddy,2025-03-31,501141,11,6
Andhra Pradesh,K.v. Rangareddy,2025-06-30,501141,23,12
Andhra Pradesh,K.v. Rangareddy,2025-09-30,34104820,32,50
Andhra Pradesh,Kakinada,2025-03-31,5866407,203,317
Andhra Pradesh,Kakinada,2025-04-30,12799654,710,613
Andhra Pradesh,Kakinada,2025-05-31,15466170,1272,742
Andhra Pradesh,Kakinada,2025-06-30,13332889,1091,690
Andhra Pradesh,Kakinada,2025-07-31,11732959,524,607
Andhra Pradesh,Kakinada,2025-09-30,178124922,240,331
Andhra Pradesh,Karim Nagar,2025-03-31,1010210,26,117
Andhra Pradesh,Karim Nagar,2025-04-30,1010510,25,34
Andhra Pradesh,Karim Nagar,2025-05-31,1515511,40,116
Andhra Pradesh,Karim Nagar,2025-06-30,505001,13,57
Andhra Pradesh,Karim Nagar,2025-07-31,505001,18,99
Andhra Pradesh,Karim Nagar,2025-09-30,71748949,35,220
Andhra Pradesh,Karimnagar,2025-03-31,9601904,269,1150
Andhra Pradesh,Karimnagar,2025-04-30,5053023,140,487
Andhra Pradesh,Karimnagar,2025-05-31,12128959,426,1049
Andhra Pradesh,Karimnagar,2025-06-30,13644827,491,1267
Andhra Pradesh,Karimnagar,2025-07-31,11117377,396,1614
Andhra Pradesh,Karimnagar,2025-09-30,361847062,375,2616
Andhra Pradesh,Khammam,2025-03-31,21301102,1070,2855
Andhra Pradesh,Khammam,2025-04-30,19272030,790,2151
Andhra Pradesh,Khammam,2025-05-31,23329923,1378,2496
Andhra Pradesh,Khammam,2025-06-30,25358545,2069,3017
Andhra Pradesh,Khammam,2025-07-31,24344052,1649,4479
Andhra Pradesh,Khammam,2025-09-30,434135176,1902,2554
Andhra Pradesh,Krishna,2025-03-31,57334185,16816,9887
Andhra Pradesh,Krishna,2025-04-30,56813032,29038,9999
Andhra Pradesh,Krishna,2025-05-31,56291637,20478,9521
Andhra Pradesh,Krishna,2025-06-30,56278746,20590,10292
Andhra Pradesh,Krishna,2025-07-31,55770501,11727,11239
Andhra Pradesh,Krishna,2025-09-30,936527077,5393,8687
Andhra Pradesh,Kurnool,2025-03-31,43539870,27662,10576
Andhra Pradesh,Kurnool,2025-04-30,44057971,56618,11320
Andhra Pradesh,Kurnool,2025-05-31,43021640,38609,11871
Andhra Pradesh,Kurnool,2025-06-30,43539826,34015,13321
Andhra Pradesh,Kurnool,2025-07-31,43021640,15103,14834
Andhra Pradesh,Kurnool,2025-09-30,725665796,7539,8679
Andhra Pradesh,Mahabub Nagar,2025-03-31,1527648,45,269
Andhra Pradesh,Mahabub Nagar,2025-04-30,1018707,35,86
Andhra Pradesh,Mahabub Nagar,2025-05-31,1018707,37,79
Andhra Pradesh,Mahabub Nagar,2025-06-30,2037178,71,371
Andhra Pradesh,Mahabub Nagar,2025-07-31,1528046,65,395
Andhra Pradesh,Mahabub Nagar,2025-09-30,376346261,121,3540
Andhra Pradesh,Mahabubnagar,2025-09-30,17822200,11,29
Andhra Pradesh,Mahbubnagar,2025-03-31,5091768,274,1114
Andhra Pradesh,Mahbubnagar,2025-04-30,4073282,189,664
Andhra Pradesh,Mahbubnagar,2025-05-31,4073159,244,696
Andhra Pradesh,Mahbubnagar,2025-06-30,5091768,411,977
Andhra Pradesh,Mahbubnagar,2025-07-31,4582645,276,1304
Andhra Pradesh,Mahbubnagar,2025-09-30,317769468,281,1826
Andhra Pradesh,Medak,2025-03-31,10546723,421,1488
Andhra Pradesh,Medak,2025-04-30,10044518,382,1320
Andhra Pradesh,Medak,2025-05-31,9541853,393,979
Andhra Pradesh,Medak,2025-06-30,12555627,701,1461
Andhra Pradesh,Medak,2025-07-31,11551590,577,1893
Andhra Pradesh,Medak,2025-09-30,384719929,790,2642
Andhra Pradesh,N. T. R,2025-03-31,10413471,380,740
Andhra Pradesh,N. T. R,2025-04-30,14582402,993,944
Andhra Pradesh,N. T. R,2025-05-31,14582567,1040,991
Andhra Pradesh,N. T. R,2025-06-30,14061355,1007,836
Andhra Pradesh,N. T. R,2025-07-31,13018633,788,1079
Andhra Pradesh,N. T. R,2025-09-30,216636789,314,595
Andhra Pradesh,Nalgonda,2025-03-31,8639111,292,1601
Andhra Pradesh,Nalgonda,2025-04-30,7114722,254,1018
Andhra Pradesh,Nalgonda,2025-05-31,13213287,459,1883
Andhra Pradesh,Nalgonda,2025-06-30,16770776,778,2909
Andhra Pradesh,Nalgonda,2025-07-31,12704785,583,3365
Andhra Pradesh,Nalgonda,2025-09-30,451301706,467,3947
Andhra Pradesh,Nandyal,2025-03-31,6220686,283,280
Andhra Pradesh,Nandyal,2025-04-30,7256814,658,411
Andhra Pradesh,Nandyal,2025-05-31,12959611,1107,649
Andhra Pradesh,Nandyal,2025-06-30,13996132,1222,735
Andhra Pradesh,Nandyal,2025-07-31,7257536,338,513
Andhra Pradesh,Nandyal,2025-09-30,160182985,208,377
Andhra Pradesh,Nellore,2025-03-31,39844440,5113,6240
Andhra Pradesh,Nellore,2025-04-30,40892798,21231,6487
Andhra Pradesh,Nellore,2025-05-31,41417116,17287,6800
Andhra Pradesh,Nellore,2025-06-30,40892798,16669,7656
Andhra Pradesh,Nellore,2025-07-31,40892798,6759,8418
Andhra Pradesh,Nellore,2025-09-30,664769821,3238,4743
Andhra Pradesh,Nizamabad,2025-03-31,5534904,233,677
Andhra Pradesh,Nizamabad,2025-04-30,5534925,229,528
Andhra Pradesh,Nizamabad,2025-05-31,7547647,298,675
Andhra Pradesh,Nizamabad,2025-06-30,7044440,353,735
Andhra Pradesh,Nizamabad,2025-07-31,6038293,258,982
Andhra Pradesh,Nizamabad,2025-09-30,214376342,348,909
Andhra Pradesh,Palnadu,2025-03-31,6792384,293,311
Andhra Pradesh,Palnadu,2025-04-30,7314646,606,398
Andhra Pradesh,Palnadu,2025-05-31,14107549,1259,700
Andhra Pradesh,Palnadu,2025-06-30,13584802,1400,705
Andhra Pradesh,Palnadu,2025-07-31,8882326,368,531
Andhra Pradesh,Palnadu,2025-09-30,147863544,181,331
Andhra Pradesh,Parvathipuram Manyam,2025-03-31,8553165,362,487
Andhra Pradesh,Parvathipuram Manyam,2025-04-30,11227753,840,655
Andhra Pradesh,Parvathipuram Manyam,2025-05-31,11227718,1014,786
Andhra Pradesh,Parvathipuram Manyam,2025-06-30,11763308,1058,879
Andhra Pradesh,Parvathipuram Manyam,2025-07-31,10156723,409,743
Andhra Pradesh,Parvathipuram Manyam,2025-09-30,135807926,143,412
Andhra Pradesh,Prakasam,2025-03-31,51800517,11991,7242
Andhra Pradesh,Prakasam,2025-04-30,51800517,28635,7906
Andhra Pradesh,Prakasam,2025-05-31,51800517,24657,8625
Andhra Pradesh,Prakasam,2025-06-30,51277332,23007,10067
Andhra Pradesh,Prakasam,2025-07-31,51800517,8732,9994
Andhra Pradesh,Prakasam,2025-09-30,830380385,4178,5827
Andhra Pradesh,Rangareddi,2025-03-31,16519168,1114,5136
Andhra Pradesh,Rangareddi,2025-04-30,17020729,1035,4115
Andhra Pradesh,Rangareddi,2025-05-31,18520697,1276,4011
Andhra Pradesh,Rangareddi,2025-06-30,20533121,1369,4894
Andhra Pradesh,Rangareddi,2025-07-31,21531873,1624,6438
Andhra Pradesh,Rangareddi,2025-09-30,439842219,1164,4294
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03-31,3144738,110,172
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04-30,8909237,519,369
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05-31,15197660,1371,603
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06-30,13102676,1231,653
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07-31,8386352,370,446
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09-30,190237516,291,305
Andhra Pradesh,Sri Sathya Sai,2025-03-31,13915114,738,463
Andhra Pradesh,Sri Sathya Sai,2025-04-30,10307577,690,395
Andhra Pradesh,Sri Sathya Sai,2025-05-31,17522377,1043,738
Andhra Pradesh,Sri Sathya Sai,2025-06-30,15976078,1080,724
Andhra Pradesh,Sri Sathya Sai,2025-07-31,3608297,179,268
Andhra Pradesh,Sri Sathya Sai,2025-09-30,161314203,180,392
Andhra Pradesh,Srikakulam,2025-03-31,35141886,22984,6997
Andhra Pradesh,Srikakulam,2025-04-30,35141886,29521,7659
Andhra Pradesh,Srikakulam,2025-05-31,34606758,15311,7444
Andhra Pradesh,Srikakulam,2025-06-30,35141886,15707,9101
Andhra Pradesh,Srikakulam,2025-07-31,34606758,6285,8992
Andhra Pradesh,Srikakulam,2025-09-30,606936526,3268,5545
Andhra Pradesh,Tirupati,2025-03-31,6216649,268,382
Andhra Pradesh,Tirupati,2025-04-30,9347715,560,571
Andhra Pradesh,Tirupati,2025-05-31,18192988,1071,828
Andhra Pradesh,Tirupati,2025-06-30,12984042,935,722
Andhra Pradesh,Tirupati,2025-07-31,9362008,375,586
Andhra Pradesh,Tirupati,2025-09-30,183378469,281,358
Andhra Pradesh,Visakhapatnam,2025-03-31,47249353,21850,15143
Andhra Pradesh,Visakhapatnam,2025-04-30,46714103,44075,14418
Andhra Pradesh,Visakhapatnam,2025-05-31,46714103,28998,13737
Andhra Pradesh,Visakhapatnam,2025-06-30,46714103,29728,15240
Andhra Pradesh,Visakhapatnam,2025-07-31,45654018,11793,14744
Andhra Pradesh,Visakhapatnam,2025-09-30,838686223,8905,9312
Andhra Pradesh,Vizianagaram,2025-03-31,32636677,11966,6473
Andhra Pradesh,Vizianagaram,2025-04-30,33701261,21930,6001
Andhra Pradesh,Vizianagaram,2025-05-31,33168800,15557,6376
Andhra Pradesh,Vizianagaram,2025-06-30,32636632,13716,7158
Andhra Pradesh,Vizianagaram,2025-07-31,31573336,5872,7494
Andhra Pradesh,Vizianagaram,2025-09-30,564994439,2782,4897
Andhra Pradesh,Warangal,2025-03-31,21767093,1215,4034
Andhra Pradesh,Warangal,2025-04-30,19235921,894,3169
Andhra Pradesh,Warangal,2025-05-31,22779840,1438,3458
Andhra Pradesh,Warangal,2025-06-30,22273524,1880,4117
Andhra Pradesh,Warangal,2025-07-31,22273320,1408,5794
Andhra Pradesh,Warangal,2025-09-30,537089348,1431,4995
Andhra Pradesh,West Godavari,2025-03-31,60784517,15662,9674
Andhra Pradesh,West Godavari,2025-04-30,59743001,26832,9379
Andhra Pradesh,West Godavari,2025-05-31,60250302,19992,9925
Andhra Pradesh,West Godavari,2025-06-30,59743001,21049,10030
Andhra Pradesh,West Godavari,2025-07-31,60250302,8673,10290
Andhra Pradesh,West Godavari,2025-09-30,959202296,4763,6726
Andhra Pradesh,Y. S. R,2025-03-31,5161786,259,301
Andhra Pradesh,Y. S. R,2025-04-30,6194477,524,347
Andhra Pradesh,Y. S. R,2025-05-31,9292725,811,448
Andhra Pradesh,Y. S. R,2025-06-30,10324912,1094,590
Andhra Pradesh,Y. S. R,2025-07-31,5678473,308,388
Andhra Pradesh,Y. S. R,2025-09-30,143516801,205,339
Arunachal Pradesh,Anjaw,2025-03-31,792104,55,79
Arunachal Pradesh,Anjaw,2025-04-30,792104,68,53
Arunachal Pradesh,Anjaw,2025-05-31,792104,89,101
Arunachal Pradesh,Anjaw,2025-06-30,792104,50,58
Arunachal Pradesh,Anjaw,2025-07-31,792104,60,79
Arunachal Pradesh,Anjaw,2025-09-30,12673664,49,28
Arunachal Pradesh,Changlang,2025-03-31,5544700,483,339
Arunachal Pradesh,Changlang,2025-04-30,4752577,490,258
Arunachal Pradesh,Changlang,2025-05-31,3960456,381,268
Arunachal Pradesh,Changlang,2025-06-30,3168401,386,288
Arunachal Pradesh,Changlang,2025-07-31,3168401,528,419
Arunachal Pradesh,Changlang,2025-09-30,75249671,761,509
Arunachal Pradesh,Dibang Valley,2025-03-31,792101,15,41
Arunachal Pradesh,Dibang Valley,2025-04-30,792101,11,11
Arunachal Pradesh,Dibang Valley,2025-05-31,792101,33,25
Arunachal Pradesh,Dibang Valley,2025-06-30,792101,19,17
Arunachal Pradesh,Dibang Valley,2025-07-31,792101,16,17
Arunachal Pradesh,Dibang Valley,2025-09-30,11881533,10,9
Arunachal Pradesh,East Kameng,2025-03-31,790102,189,244
Arunachal Pradesh,East Kameng,2025-04-30,1580205,333,168
Arunachal Pradesh,East Kameng,2025-05-31,1580205,306,228
Arunachal Pradesh,East Kameng,2025-06-30,1580205,228,194
Arunachal Pradesh,East Kameng,2025-07-31,790102,195,191
Arunachal Pradesh,East Kameng,2025-09-30,23703070,385,261
Arunachal Pradesh,East Siang,2025-03-31,1582206,134,131
Arunachal Pradesh,East Siang,2025-04-30,1582206,191,112
Arunachal Pradesh,East Siang,2025-05-31,1582206,165,93
Arunachal Pradesh,East Siang,2025-06-30,1582206,127,121
Arunachal Pradesh,East Siang,2025-07-31,1582206,160,200
Arunachal Pradesh,East Siang,2025-09-30,25315292,141,92
Arunachal Pradesh,Kamle,2025-06-30,791130,10,15
Arunachal Pradesh,Kamle,2025-07-31,791130,28,38
Arunachal Pradesh,Kamle,2025-09-30,9493560,6,17
Arunachal Pradesh,Kra Daadi,2025-03-31,791118,75,122
Arunachal Pradesh,Kra Daadi,2025-04-30,791118,127,80
Arunachal Pradesh,Kra Daadi,2025-05-31,791118,118,80
Arunachal Pradesh,Kra Daadi,2025-06-30,791118,73,56
Arunachal Pradesh,Kra Daadi,2025-07-31,791118,95,83
Arunachal Pradesh,Kra Daadi,2025-09-30,13449006,71,37
Arunachal Pradesh,Kurung Kumey,2025-03-31,791118,93,536
Arunachal Pradesh,Kurung Kumey,2025-04-30,791118,107,467
Arunachal Pradesh,Kurung Kumey,2025-05-31,791118,128,328
Arunachal Pradesh,Kurung Kumey,2025-06-30,791118,88,201
Arunachal Pradesh,Kurung Kumey,2025-07-31,791118,178,308
Arunachal Pradesh,Kurung Kumey,2025-09-30,15822360,125,131
Arunachal Pradesh,Leparada,2025-09-30,2373303,3,0
Arunachal Pradesh,Lohit,2025-03-31,1584103,100,364
Arunachal Pradesh,Lohit,2025-04-30,2376214,177,306
Arunachal Pradesh,Lohit,2025-05-31,2376214,173,281
Arunachal Pradesh,Lohit,2025-06-30,1584103,116,270
Arunachal Pradesh,Lohit,2025-07-31,2376214,128,237
Arunachal Pradesh,Lohit,2025-09-30,49108858,134,174
Arunachal Pradesh,Longding,2025-03-31,1584261,133,129
Arunachal Pradesh,Longding,2025-04-30,1584261,277,126
Arunachal Pradesh,Longding,2025-05-31,2370892,196,124
Arunachal Pradesh,Longding,2025-06-30,1584261,141,136
Arunachal Pradesh,Longding,2025-07-31,2370892,157,181
Arunachal Pradesh,Longding,2025-09-30,45784074,220,109
Arunachal Pradesh,Lower Dibang Valley,2025-03-31,792110,80,117
Arunachal Pradesh,Lower Dibang Valley,2025-04-30,792110,111,67
Arunachal Pradesh,Lower Dibang Valley,2025-05-31,792110,121,112
Arunachal Pradesh,Lower Dibang Valley,2025-06-30,792110,118,113
Arunachal Pradesh,Lower Dibang Valley,2025-07-31,792110,114,139
Arunachal Pradesh,Lower Dibang Valley,2025-09-30,13465870,96,79
Arunachal Pradesh,Lower Siang,2025-03-31,1582226,26,12
Arunachal Pradesh,Lower Siang,2025-05-31,791125,12,10
Arunachal Pradesh,Lower Siang,2025-09-30,15822311,26,13
Arunachal Pradesh,Lower Subansiri,2025-03-31,791120,81,128
Arunachal Pradesh,Lower Subansiri,2025-04-30,1582239,169,178
Arunachal Pradesh,Lower Subansiri,2025-05-31,1582239,155,196
Arunachal Pradesh,Lower Subansiri,2025-06-30,791120,108,129
Arunachal Pradesh,Lower Subansiri,2025-07-31,1582239,340,188
Arunachal Pradesh,Lower Subansiri,2025-09-30,26898063,164,111
Arunachal Pradesh,Namsai,2025-03-31,2376310,213,274
Arunachal Pradesh,Namsai,2025-04-30,2376310,327,351
Arunachal Pradesh,Namsai,2025-05-31,2376310,423,413
Arunachal Pradesh,Namsai,2025-06-30,2376310,484,414
Arunachal Pradesh,Namsai,2025-07-31,2376310,321,411
Arunachal Pradesh,Namsai,2025-09-30,39605163,157,210
Arunachal Pradesh,Pakke Kessang,2025-03-31,790103,12,6
Arunachal Pradesh,Pakke Kessang,2025-09-30,11851545,5,21
Arunachal Pradesh,Papum Pare,2025-03-31,5537799,345,717
Arunachal Pradesh,Papum Pare,2025-04-30,5537799,458,618
Arunachal Pradesh,Papum Pare,2025-05-31,5537799,496,687
Arunachal Pradesh,Papum Pare,2025-06-30,4746690,322,559
Arunachal Pradesh,Papum Pare,2025-07-31,5537799,789,643
Arunachal Pradesh,Papum Pare,2025-09-30,99680390,856,392
Arunachal Pradesh,Shi-yomi,2025-03-31,791003,14,12
Arunachal Pradesh,Shi-yomi,2025-04-30,791003,17,15
Arunachal Pradesh,Shi-yomi,2025-05-31,791003,26,14
Arunachal Pradesh,Shi-yomi,2025-06-30,791003,20,14
Arunachal Pradesh,Shi-yomi,2025-07-31,791003,11,37
Arunachal Pradesh,Shi-yomi,2025-09-30,10283039,9,13
Arunachal Pradesh,Siang,2025-03-31,1582103,54,63
Arunachal Pradesh,Siang,2025-04-30,1582103,107,49
Arunachal Pradesh,Siang,2025-05-31,1582103,100,64
Arunachal Pradesh,Siang,2025-06-30,1582103,76,53
Arunachal Pradesh,Siang,2025-07-31,1582103,65,91
Arunachal Pradesh,Siang,2025-09-30,22940342,91,26
Arunachal Pradesh,Tawang,2025-03-31,2370315,120,78
Arunachal Pradesh,Tawang,2025-04-30,2370315,153,118
Arunachal Pradesh,Tawang,2025-05-31,2370315,149,78
Arunachal Pradesh,Tawang,2025-06-30,2370315,99,70
Arunachal Pradesh,Tawang,2025-07-31,2370315,79,88
Arunachal Pradesh,Tawang,2025-09-30,33184409,102,43
Arunachal Pradesh,Tirap,2025-03-31,792130,61,41
Arunachal Pradesh,Tirap,2025-04-30,2365389,107,49
Arunachal Pradesh,Tirap,2025-05-31,2365389,120,69
Arunachal Pradesh,Tirap,2025-06-30,2370889,100,88
Arunachal Pradesh,Tirap,2025-07-31,1578760,79,90
Arunachal Pradesh,Tirap,2025-09-30,42604514,102,57
Arunachal Pradesh,Upper Siang,2025-03-31,1583063,53,72
Arunachal Pradesh,Upper Siang,2025-04-30,1583063,112,67
Arunachal Pradesh,Upper Siang,2025-05-31,1583063,116,105
Arunachal Pradesh,Upper Siang,2025-06-30,791002,59,50
Arunachal Pradesh,Upper Siang,2025-07-31,791002,47,63
Arunachal Pradesh,Upper Siang,2025-09-30,24535888,49,53
Arunachal Pradesh,Upper Subansiri,2025-03-31,791122,217,342
Arunachal Pradesh,Upper Subansiri,2025-04-30,791122,336,230
Arunachal Pradesh,Upper Subansiri,2025-05-31,791122,271,288
Arunachal Pradesh,Upper Subansiri,2025-06-30,791122,260,219
Arunachal Pradesh,Upper Subansiri,2025-07-31,791122,293,230
Arunachal Pradesh,Upper Subansiri,2025-09-30,12657952,194,130
Arunachal Pradesh,West Kameng,2025-03-31,5530439,188,425
Arunachal Pradesh,West Kameng,2025-04-30,4740337,330,637
Arunachal Pradesh,West Kameng,2025-05-31,3950335,243,438
Arunachal Pradesh,West Kameng,2025-06-30,5530439,279,489
Arunachal Pradesh,West Kameng,2025-07-31,5530439,203,388
Arunachal Pradesh,West Kameng,2025-09-30,73475801,362,193
Arunachal Pradesh,West Siang,2025-03-31,2373227,212,175
Arunachal Pradesh,West Siang,2025-04-30,2373227,250,157
Arunachal Pradesh,West Siang,2025-05-31,2373227,300,182
Arunachal Pradesh,West Siang,2025-06-30,2373227,236,185
Arunachal Pradesh,West Siang,2025-07-31,2373227,233,202
Arunachal Pradesh,West Siang,2025-09-30,47471046,400,128
Assam,Bajali,2025-09-30,6250660,2,7
