state,district,date,forecast_next_month,forecast_level,recommended_action
Andhra Pradesh,Alluri Sitharama Raju,2025-06-30,3609.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,3052.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Alluri Sitharama Raju,2025-10-31,1832.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Alluri Sitharama Raju,2025-11-30,926.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Alluri Sitharama Raju,2025-12-31,416.6666666666667,Low Demand,No action required
Andhra Pradesh,Anakapalli,2025-03-31,1685.0,Medium Demand,Extend working hours
Andhra Pradesh,Anakapalli,2025-06-30,1502.0,Medium Demand,Extend working hours
Andhra Pradesh,Anakapalli,2025-09-30,1311.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,Anakapalli,2025-10-31,824.6666666666666,Medium Demand,Extend working hours
Andhra Pradesh,Anakapalli,2025-11-30,542.6666666666666,Medium Demand,Extend working hours
Andhra Pradesh,Anakapalli,2025-12-31,433.3333333333333,Low Demand,No action required
Andhra Pradesh,Anantapur,2025-03-31,15340.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Anantapur,2025-06-30,13957.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Anantapur,2025-09-30,12211.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Anantapur,2025-10-31,7785.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Anantapur,2025-11-30,4651.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Anantapur,2025-12-31,2712.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapur,2025-03-31,17343.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapur,2025-09-30,10756.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapur,2025-10-31,7552.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapur,2025-11-30,2318.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapur,2025-12-31,1298.0,Medium Demand,Extend working hours
Andhra Pradesh,Ananthapuramu,2025-03-31,20693.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapuramu,2025-04-30,22819.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapuramu,2025-05-31,21998.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapuramu,2025-06-30,21028.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapuramu,2025-07-31,15111.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapuramu,2025-09-30,10010.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapuramu,2025-10-31,4437.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapuramu,2025-11-30,2621.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Ananthapuramu,2025-12-31,1451.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-03-31,933.0,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-04-30,1537.0,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-05-31,2793.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Annamayya,2025-06-30,3188.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Annamayya,2025-07-31,3241.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Annamayya,2025-09-30,1946.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-10-31,1466.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-11-30,959.6666666666666,Medium Demand,Extend working hours
Andhra Pradesh,Annamayya,2025-12-31,804.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Bapatla,2025-03-31,767.0,Medium Demand,Extend working hours
Andhra Pradesh,Bapatla,2025-06-30,1417.5,Medium Demand,Extend working hours
Andhra Pradesh,Bapatla,2025-07-31,1151.0,Medium Demand,Extend working hours
Andhra Pradesh,Bapatla,2025-09-30,1193.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Bapatla,2025-10-31,586.6666666666666,Medium Demand,Extend working hours
Andhra Pradesh,Bapatla,2025-11-30,531.6666666666666,Medium Demand,Extend working hours
Andhra Pradesh,Bapatla,2025-12-31,394.0,Low Demand,No action required
Andhra Pradesh,Chittoor,2025-03-31,43285.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-04-30,45051.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-05-31,44439.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-06-30,41698.666666666664,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-07-31,32993.333333333336,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-09-30,24471.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-10-31,13886.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-11-30,9113.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Chittoor,2025-12-31,4876.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-03-31,23788.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-05-31,24381.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-06-30,25120.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-07-31,22210.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-09-30,17876.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-10-31,9870.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-11-30,6146.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Cuddapah,2025-12-31,3337.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03-31,1235.0,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05-31,1240.0,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06-30,1419.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07-31,1245.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09-30,1229.0,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10-31,762.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11-30,688.0,Medium Demand,Extend working hours
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12-31,505.0,Medium Demand,Extend working hours
Andhra Pradesh,East Godavari,2025-03-31,41687.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-04-30,47318.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-05-31,46079.666666666664,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-06-30,47269.666666666664,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-09-30,37020.333333333336,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-10-31,23548.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-11-30,10181.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,East Godavari,2025-12-31,4778.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Eluru,2025-03-31,1426.0,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-05-31,1669.5,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-06-30,1771.0,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-09-30,1856.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-10-31,1341.0,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-11-30,940.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Eluru,2025-12-31,677.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Guntur,2025-03-31,46247.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-04-30,51087.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-05-31,49654.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-06-30,49157.333333333336,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-07-31,39937.666666666664,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-09-30,30804.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-10-31,17034.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-11-30,9501.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Guntur,2025-12-31,5132.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Hyderabad,2025-03-31,13999.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Hyderabad,2025-09-30,12995.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Hyderabad,2025-10-31,8982.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Hyderabad,2025-11-30,4924.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Hyderabad,2025-12-31,1546.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,K.V.Rangareddy,2025-09-30,241.0,Low Demand,No action required
Andhra Pradesh,K.V.Rangareddy,2025-10-31,131.0,Low Demand,No action required
Andhra Pradesh,K.V.Rangareddy,2025-11-30,99.0,Low Demand,No action required
Andhra Pradesh,K.V.Rangareddy,2025-12-31,28.333333333333332,Low Demand,No action required
Andhra Pradesh,K.v. Rangareddy,2025-09-30,100.0,Low Demand,No action required
Andhra Pradesh,K.v. Rangareddy,2025-10-31,53.0,Low Demand,No action required
Andhra Pradesh,K.v. Rangareddy,2025-11-30,39.333333333333336,Low Demand,No action required
Andhra Pradesh,K.v. Rangareddy,2025-12-31,7.666666666666667,Low Demand,No action required
Andhra Pradesh,Kakinada,2025-03-31,2701.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kakinada,2025-05-31,2718.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kakinada,2025-06-30,2910.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kakinada,2025-09-30,2599.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kakinada,2025-10-31,1852.0,Medium Demand,Extend working hours
Andhra Pradesh,Kakinada,2025-11-30,989.6666666666666,Medium Demand,Extend working hours
Andhra Pradesh,Kakinada,2025-12-31,718.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Karim Nagar,2025-09-30,334.0,Low Demand,No action required
Andhra Pradesh,Karim Nagar,2025-10-31,180.5,Low Demand,No action required
Andhra Pradesh,Karim Nagar,2025-11-30,136.33333333333334,Low Demand,No action required
Andhra Pradesh,Karim Nagar,2025-12-31,63.333333333333336,Low Demand,No action required
Andhra Pradesh,Karimnagar,2025-03-31,1669.0,Medium Demand,Extend working hours
Andhra Pradesh,Karimnagar,2025-09-30,2718.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Karimnagar,2025-10-31,1939.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,Karimnagar,2025-11-30,1533.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,Karimnagar,2025-12-31,444.0,Low Demand,No action required
Andhra Pradesh,Khammam,2025-03-31,5512.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Khammam,2025-09-30,6049.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Khammam,2025-10-31,4378.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Khammam,2025-11-30,3156.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Khammam,2025-12-31,1462.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Krishna,2025-03-31,33390.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-05-31,33765.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-06-30,32988.333333333336,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-07-31,29829.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-09-30,25198.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-10-31,15535.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-11-30,8941.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Krishna,2025-12-31,3655.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-03-31,56127.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-04-30,63451.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-05-31,61527.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-06-30,60430.333333333336,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-07-31,48744.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-09-30,36834.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-10-31,20197.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-11-30,9792.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Kurnool,2025-12-31,3920.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Mahabub Nagar,2025-03-31,419.0,Low Demand,No action required
Andhra Pradesh,Mahabub Nagar,2025-09-30,2690.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Mahabub Nagar,2025-10-31,1945.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Mahabub Nagar,2025-11-30,2013.6666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Mahabub Nagar,2025-12-31,554.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Mahabubnagar,2025-09-30,44.0,Low Demand,No action required
Andhra Pradesh,Mahabubnagar,2025-10-31,23.5,Low Demand,No action required
Andhra Pradesh,Mahabubnagar,2025-11-30,17.0,Low Demand,No action required
Andhra Pradesh,Mahabubnagar,2025-12-31,5.0,Low Demand,No action required
Andhra Pradesh,Mahbubnagar,2025-03-31,2126.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Mahbubnagar,2025-09-30,2499.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Mahbubnagar,2025-10-31,1781.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Mahbubnagar,2025-11-30,1292.0,Medium Demand,Extend working hours
Andhra Pradesh,Mahbubnagar,2025-12-31,467.6666666666667,Low Demand,No action required
Andhra Pradesh,Medak,2025-03-31,2667.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Medak,2025-09-30,3484.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Medak,2025-10-31,2467.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Medak,2025-11-30,1850.0,Medium Demand,Extend working hours
Andhra Pradesh,Medak,2025-12-31,627.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,N. T. R,2025-03-31,2898.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,N. T. R,2025-05-31,3429.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,N. T. R,2025-06-30,3446.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,N. T. R,2025-07-31,3365.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,N. T. R,2025-09-30,2876.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,N. T. R,2025-10-31,1937.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,N. T. R,2025-11-30,1402.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,N. T. R,2025-12-31,1051.0,Medium Demand,Extend working hours
Andhra Pradesh,Nalgonda,2025-03-31,2863.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nalgonda,2025-09-30,4747.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nalgonda,2025-10-31,3504.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nalgonda,2025-11-30,3200.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nalgonda,2025-12-31,1374.0,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-03-31,1222.0,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-04-30,1424.5,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-05-31,1935.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-06-30,2801.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nandyal,2025-07-31,2951.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nandyal,2025-09-30,2382.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nandyal,2025-10-31,1242.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-11-30,748.0,Medium Demand,Extend working hours
Andhra Pradesh,Nandyal,2025-12-31,535.0,Medium Demand,Extend working hours
Andhra Pradesh,Nellore,2025-03-31,17226.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nellore,2025-09-30,14648.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nellore,2025-10-31,10304.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nellore,2025-11-30,5644.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nellore,2025-12-31,2475.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Nizamabad,2025-03-31,1111.0,Medium Demand,Extend working hours
Andhra Pradesh,Nizamabad,2025-09-30,1374.0,Medium Demand,Extend working hours
Andhra Pradesh,Nizamabad,2025-10-31,966.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Nizamabad,2025-11-30,722.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Nizamabad,2025-12-31,279.0,Low Demand,No action required
Andhra Pradesh,Palnadu,2025-03-31,1996.0,Medium Demand,Extend working hours
Andhra Pradesh,Palnadu,2025-05-31,2676.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Palnadu,2025-06-30,3002.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Palnadu,2025-07-31,2797.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Palnadu,2025-09-30,2074.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Palnadu,2025-10-31,984.0,Medium Demand,Extend working hours
Andhra Pradesh,Palnadu,2025-11-30,808.0,Medium Demand,Extend working hours
Andhra Pradesh,Palnadu,2025-12-31,695.0,Medium Demand,Extend working hours
Andhra Pradesh,Parvathipuram Manyam,2025-03-31,2003.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Parvathipuram Manyam,2025-05-31,2076.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Parvathipuram Manyam,2025-07-31,1831.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Parvathipuram Manyam,2025-09-30,1451.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,Parvathipuram Manyam,2025-10-31,801.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Parvathipuram Manyam,2025-11-30,479.3333333333333,Low Demand,No action required
Andhra Pradesh,Parvathipuram Manyam,2025-12-31,369.0,Low Demand,No action required
Andhra Pradesh,Prakasam,2025-03-31,26108.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-05-31,29943.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-06-30,31787.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-07-31,29541.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-09-30,23701.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-10-31,12761.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-11-30,8296.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Prakasam,2025-12-31,4469.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Rangareddi,2025-03-31,8115.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Rangareddi,2025-09-30,7386.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Rangareddi,2025-10-31,5098.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Rangareddi,2025-11-30,2872.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Rangareddi,2025-12-31,1062.0,Medium Demand,Extend working hours
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03-31,1075.0,Medium Demand,Extend working hours
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05-31,2147.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07-31,2112.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09-30,2320.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10-31,1379.6666666666667,Medium Demand,Extend working hours
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11-30,996.0,Medium Demand,Extend working hours
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12-31,805.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-03-31,1828.0,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-04-30,1719.5,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-05-31,1860.3333333333333,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-06-30,2222.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Sri Sathya Sai,2025-07-31,2094.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Sri Sathya Sai,2025-09-30,1822.0,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-10-31,1023.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-11-30,896.3333333333334,Medium Demand,Extend working hours
Andhra Pradesh,Sri Sathya Sai,2025-12-31,774.0,Medium Demand,Extend working hours
Andhra Pradesh,Srikakulam,2025-03-31,43486.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-04-30,41415.5,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-05-31,37048.666666666664,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-06-30,32048.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-09-30,23477.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-10-31,14889.0,High Demand,Deploy mobile Aadhaar van / add staff
Andhra Pradesh,Srikakulam,2025-11-30,6976.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
