state,district,date,pincode,age_0_5,age_5_17,age_18_greater
Assam,Bongaigaon,2025-04-30,2350145,221,87,61
Assam,Bongaigaon,2025-05-31,783384,110,41,15
Assam,Bongaigaon,2025-06-30,783371,33,14,14
Assam,Bongaigaon,2025-07-31,783391,236,51,16
Assam,Bongaigaon,2025-09-30,172344447,734,161,6
Assam,Bongaigaon,2025-10-31,62670735,188,56,12
Assam,Cachar,2025-04-30,11820971,988,461,299
Assam,Cachar,2025-06-30,11027353,847,584,201
Assam,Cachar,2025-07-31,14970523,4026,1357,490
Assam,Cachar,2025-09-30,735376645,2579,871,13
Assam,Cachar,2025-10-31,294778546,733,263,172
Assam,Charaideo,2025-04-30,2357071,91,50,164
Assam,Charaideo,2025-05-31,785692,29,11,10
Assam,Charaideo,2025-09-30,95853763,202,97,0
Assam,Charaideo,2025-10-31,35355867,73,38,0
Assam,Chirang,2025-03-31,783390,12,29,15
Assam,Chirang,2025-04-30,3133535,189,199,179
Assam,Chirang,2025-07-31,3133532,893,364,52
Assam,Chirang,2025-09-30,139430046,335,175,1
Assam,Chirang,2025-10-31,52486704,88,53,1
Assam,Darrang,2025-04-30,4705206,654,340,270
Assam,Darrang,2025-05-31,784145,87,53,308
Assam,Darrang,2025-06-30,784114,63,25,10
Assam,Darrang,2025-07-31,784114,190,56,11
Assam,Darrang,2025-09-30,215660117,1221,556,7
Assam,Darrang,2025-10-31,96459532,466,213,62
Assam,Dhemaji,2025-03-31,787057,20,46,19
Assam,Dhemaji,2025-04-30,1574117,179,176,52
Assam,Dhemaji,2025-05-31,3934344,264,174,153
Assam,Dhemaji,2025-06-30,1574121,135,126,55
Assam,Dhemaji,2025-07-31,7082500,1625,576,337
Assam,Dhemaji,2025-09-30,161326782,566,274,66
Assam,Dhemaji,2025-10-31,65318681,183,91,240
Assam,Dhubri,2025-03-31,3133352,89,229,98
Assam,Dhubri,2025-04-30,3916698,998,654,80
Assam,Dhubri,2025-06-30,1566682,323,198,24
Assam,Dhubri,2025-07-31,1566668,774,306,27
Assam,Dhubri,2025-09-30,375981247,2776,1048,5
Assam,Dhubri,2025-10-31,143343873,856,299,104
Assam,Dibrugarh,2025-03-31,786602,10,12,14
Assam,Dibrugarh,2025-04-30,6290316,179,149,186
Assam,Dibrugarh,2025-05-31,4718113,140,95,149
Assam,Dibrugarh,2025-06-30,5503625,413,127,134
Assam,Dibrugarh,2025-07-31,11007232,1455,488,541
Assam,Dibrugarh,2025-09-30,281459691,652,306,52
Assam,Dibrugarh,2025-10-31,114782206,200,117,127
Assam,Dima Hasao,2025-06-30,788819,33,28,10
Assam,Dima Hasao,2025-07-31,788819,83,51,14
Assam,Dima Hasao,2025-09-30,7888358,1,10,2
Assam,Dima Hasao,2025-10-31,3155308,0,4,0
Assam,Goalpara,2025-04-30,3915812,587,294,283
Assam,Goalpara,2025-05-31,3915608,412,253,116
Assam,Goalpara,2025-06-30,783134,17,43,20
Assam,Goalpara,2025-07-31,4698776,2119,590,189
Assam,Goalpara,2025-09-30,200483979,1671,448,29
Assam,Goalpara,2025-10-31,76747705,432,135,20
Assam,Golaghat,2025-04-30,5499447,568,501,144
Assam,Golaghat,2025-05-31,7856284,807,826,230
Assam,Golaghat,2025-06-30,5499482,561,502,202
Assam,Golaghat,2025-07-31,14141386,1617,1002,850
Assam,Golaghat,2025-09-30,236475030,907,457,64
Assam,Golaghat,2025-10-31,115487227,165,139,116
Assam,Hailakandi,2025-04-30,3152634,242,143,78
Assam,Hailakandi,2025-07-31,2364489,683,287,46
Assam,Hailakandi,2025-09-30,236473747,1295,468,1
Assam,Hailakandi,2025-10-31,93012672,359,119,73
Assam,Hojai,2025-03-31,782446,27,42,20
Assam,Hojai,2025-04-30,3912209,763,253,100
Assam,Hojai,2025-06-30,782446,277,76,11
Assam,Hojai,2025-07-31,1564881,1750,350,23
Assam,Hojai,2025-09-30,161965524,1102,352,0
Assam,Hojai,2025-10-31,65724997,321,114,1
Assam,Jorhat,2025-04-30,4712645,210,156,154
Assam,Jorhat,2025-05-31,785635,17,24,13
Assam,Jorhat,2025-06-30,785630,24,19,13
Assam,Jorhat,2025-07-31,10209808,633,323,415
Assam,Jorhat,2025-09-30,279581128,597,229,2
Assam,Jorhat,2025-10-31,135864402,285,79,81
Assam,Kamrup,2025-03-31,781354,13,20,13
Assam,Kamrup,2025-04-30,7030752,741,404,179
Assam,Kamrup,2025-05-31,8593090,813,580,264
Assam,Kamrup,2025-06-30,781354,133,51,23
Assam,Kamrup,2025-07-31,11717589,2813,736,255
Assam,Kamrup,2025-09-30,489010966,1802,686,12
Assam,Kamrup,2025-10-31,210916245,716,217,109
Assam,Kamrup Metro,2025-04-30,9374945,276,396,213
Assam,Kamrup Metro,2025-05-31,1563414,67,42,53
Assam,Kamrup Metro,2025-06-30,2343058,55,54,65
Assam,Kamrup Metro,2025-07-31,4688873,259,168,82
Assam,Kamrup Metro,2025-09-30,436658617,597,602,5
Assam,Kamrup Metro,2025-10-31,203880101,242,184,271
Assam,Karbi Anglong,2025-04-30,6259692,543,1030,323
Assam,Karbi Anglong,2025-05-31,4694794,446,1537,175
Assam,Karbi Anglong,2025-09-30,252732656,814,537,240
Assam,Karbi Anglong,2025-10-31,102500706,203,213,99
Assam,Karimganj,2025-04-30,3943626,508,426,91
Assam,Karimganj,2025-05-31,5521001,286,282,193
Assam,Karimganj,2025-06-30,3943568,253,277,97
Assam,Karimganj,2025-07-31,7887261,1931,1057,183
Assam,Karimganj,2025-09-30,438498156,2809,1192,8
Assam,Karimganj,2025-10-31,167989737,671,340,3
Assam,Kokrajhar,2025-03-31,3133420,91,169,80
Assam,Kokrajhar,2025-04-30,1566720,301,238,25
Assam,Kokrajhar,2025-05-31,1566730,249,237,32
Assam,Kokrajhar,2025-06-30,783370,155,115,17
Assam,Kokrajhar,2025-07-31,1566739,284,173,119
Assam,Kokrajhar,2025-09-30,202104738,494,237,35
Assam,Kokrajhar,2025-10-31,87735321,164,85,111
Assam,Lakhimpur,2025-03-31,787031,25,34,42
Assam,Lakhimpur,2025-04-30,3145278,400,221,93
Assam,Lakhimpur,2025-05-31,4719331,404,216,127
Assam,Lakhimpur,2025-06-30,2358248,207,181,63
Assam,Lakhimpur,2025-07-31,3142409,536,216,159
Assam,Lakhimpur,2025-09-30,242126896,1317,448,8
Assam,Lakhimpur,2025-10-31,102203184,418,113,30
Assam,Majuli,2025-07-31,785104,154,45,11
Assam,Majuli,2025-09-30,47893471,101,64,0
Assam,Majuli,2025-10-31,16487215,23,14,0
Assam,Marigaon,2025-03-31,3910545,117,184,245
Assam,Marigaon,2025-04-30,3911174,540,457,96
Assam,Marigaon,2025-05-31,1564821,130,219,29
Assam,Marigaon,2025-06-30,4693284,412,250,118
Assam,Marigaon,2025-07-31,3128768,1737,646,123
Assam,Marigaon,2025-09-30,217452801,1645,502,58
Assam,Marigaon,2025-10-31,85260389,463,158,31
Assam,Nagaon,2025-03-31,782124,19,15,22
Assam,Nagaon,2025-04-30,2346380,504,236,36
Assam,Nagaon,2025-06-30,782450,24,67,65
Assam,Nagaon,2025-07-31,3128821,1553,735,132
Assam,Nagaon,2025-09-30,491244145,3157,1088,1
Assam,Nagaon,2025-10-31,179914918,713,292,53
Assam,Nalbari,2025-04-30,2344006,55,49,77
Assam,Nalbari,2025-05-31,1562495,134,75,37
Assam,Nalbari,2025-09-30,289085422,962,394,10
Assam,Nalbari,2025-10-31,134386482,323,118,31
Assam,North Cachar Hills,2025-04-30,3155411,130,179,99
Assam,North Cachar Hills,2025-05-31,788819,25,39,13
Assam,North Cachar Hills,2025-09-30,56796850,110,68,2
Assam,North Cachar Hills,2025-10-31,32342555,72,38,0
Assam,Sibsagar,2025-04-30,3142708,220,83,276
Assam,Sibsagar,2025-05-31,2357009,95,43,87
Assam,Sibsagar,2025-09-30,198776149,404,129,1
Assam,Sibsagar,2025-10-31,106066181,188,58,154
Assam,Sivasagar,2025-06-30,785640,37,33,10
Assam,Sivasagar,2025-07-31,2357021,167,80,95
Assam,Sonitpur,2025-03-31,784110,10,28,43
Assam,Sonitpur,2025-04-30,2352728,138,169,65
Assam,Sonitpur,2025-05-31,784182,55,160,38
Assam,Sonitpur,2025-06-30,784507,97,110,77
Assam,Sonitpur,2025-07-31,1568617,641,279,110
Assam,Sonitpur,2025-09-30,439924938,1544,712,2
Assam,Sonitpur,2025-10-31,205455699,627,284,4
Assam,South Salmara Mankachar,2025-04-30,1566266,176,102,30
Assam,South Salmara Mankachar,2025-09-30,67349259,364,114,2
Assam,South Salmara Mankachar,2025-10-31,24277056,143,29,0
Assam,Sribhumi,2025-09-30,32335636,32,14,0
Assam,Sribhumi,2025-10-31,13408363,16,2,1
Assam,Tamulpur District,2025-09-30,10939113,4,11,0
Assam,Tamulpur District,2025-10-31,6250908,5,4,0
Assam,Tinsukia,2025-03-31,3930804,84,170,101
Assam,Tinsukia,2025-04-30,7075954,339,391,261
Assam,Tinsukia,2025-05-31,5503191,213,216,171
Assam,Tinsukia,2025-07-31,11006283,1074,827,606
Assam,Tinsukia,2025-09-30,291670742,690,445,9
Assam,Tinsukia,2025-10-31,121070557,257,172,5
Assam,Udalguri,2025-03-31,784509,10,46,34
Assam,Udalguri,2025-04-30,7059823,447,364,319
Assam,Udalguri,2025-05-31,4705963,221,162,164
Assam,Udalguri,2025-09-30,219635481,616,260,4
Assam,Udalguri,2025-10-31,113740865,270,108,19
Assam,West Karbi Anglong,2025-04-30,2347421,94,344,45
Assam,West Karbi Anglong,2025-05-31,782486,39,216,11
Assam,West Karbi Anglong,2025-06-30,1564971,52,133,110
Assam,West Karbi Anglong,2025-07-31,1564971,116,148,118
Assam,West Karbi Anglong,2025-09-30,46164933,36,57,86
Assam,West Karbi Anglong,2025-10-31,20343830,8,20,32
Bihar,Araria,2025-06-30,2562950,850,787,39
Bihar,Araria,2025-07-31,854336,166,108,14
Bihar,Araria,2025-09-30,330617257,2770,1398,17
Bihar,Araria,2025-10-31,151211446,2252,1052,17
Bihar,Arwal,2025-05-31,804401,43,156,10
Bihar,Arwal,2025-07-31,824235,60,432,13
Bihar,Arwal,2025-09-30,163809910,215,866,0
Bihar,Arwal,2025-10-31,71849656,142,454,7
Bihar,Aurangabad,2025-09-30,453286945,885,2232,8
Bihar,Aurangabad,2025-10-31,206037953,501,1239,21
Bihar,Aurangabad(BH),2025-09-30,824102,0,1,0
Bihar,Aurangabad(bh),2025-09-30,23900474,22,16,0
Bihar,Aurangabad(bh),2025-10-31,6592915,5,7,0
Bihar,Banka,2025-06-30,1626209,397,542,36
Bihar,Banka,2025-07-31,813108,148,269,11
Bihar,Banka,2025-09-30,361860094,1531,1263,2
Bihar,Banka,2025-10-31,169133383,1065,674,20
Bihar,Begusarai,2025-07-31,848203,377,372,13
Bihar,Begusarai,2025-09-30,524928618,2338,1516,9
Bihar,Begusarai,2025-10-31,220346395,1284,774,19
Bihar,Bhabua,2025-09-30,7389947,4,6,0
Bihar,Bhabua,2025-10-31,5728750,4,3,0
Bihar,Bhagalpur,2025-03-31,812005,13,40,18
Bihar,Bhagalpur,2025-04-30,1665209,678,534,26
Bihar,Bhagalpur,2025-05-31,4998034,1500,1363,85
Bihar,Bhagalpur,2025-06-30,6581252,1407,2293,150
Bihar,Bhagalpur,2025-07-31,813213,184,358,15
Bihar,Bhagalpur,2025-09-30,520587413,1902,2031,9
Bihar,Bhagalpur,2025-10-31,211655617,976,873,59
Bihar,Bhojpur,2025-07-31,802301,184,626,13
Bihar,Bhojpur,2025-09-30,618897794,835,2653,15
Bihar,Bhojpur,2025-10-31,276195344,491,1668,19
Bihar,Buxar,2025-09-30,419508974,856,1621,7
Bihar,Buxar,2025-10-31,185289810,454,852,26
Bihar,Darbhanga,2025-06-30,847121,255,183,10
Bihar,Darbhanga,2025-09-30,739496361,3286,1960,10
Bihar,Darbhanga,2025-10-31,309191943,1652,913,27
Bihar,East Champaran,2025-04-30,7608079,1528,2371,153
Bihar,East Champaran,2025-05-31,6762764,1445,2871,192
Bihar,East Champaran,2025-09-30,774422170,2554,4580,128
Bihar,East Champaran,2025-10-31,300128904,993,1869,103
Bihar,Gaya,2025-04-30,3295697,437,1371,54
Bihar,Gaya,2025-05-31,4100835,452,1796,69
Bihar,Gaya,2025-06-30,2472668,515,1341,37
Bihar,Gaya,2025-07-31,3294471,546,2601,65
Bihar,Gaya,2025-09-30,612783659,1467,4143,42
Bihar,Gaya,2025-10-31,263540822,762,2374,96
Bihar,Gopalganj,2025-05-31,1682833,385,495,27
Bihar,Gopalganj,2025-06-30,2524271,577,1145,51
Bihar,Gopalganj,2025-07-31,3365679,882,1961,48
Bihar,Gopalganj,2025-09-30,392108328,1132,1917,7
Bihar,Gopalganj,2025-10-31,173335218,579,1116,28
Bihar,Jamui,2025-04-30,1622617,1015,647,30
Bihar,Jamui,2025-05-31,811307,245,292,13
Bihar,Jamui,2025-06-30,1622608,323,426,23
Bihar,Jamui,2025-09-30,226355406,1014,1266,21
Bihar,Jamui,2025-10-31,94923060,714,745,47
Bihar,Jehanabad,2025-04-30,2413243,78,292,48
Bihar,Jehanabad,2025-07-31,804418,27,219,10
Bihar,Jehanabad,2025-09-30,305759223,235,1054,9
Bihar,Jehanabad,2025-10-31,133632957,138,606,47
Bihar,Kaimur (Bhabua),2025-04-30,821106,146,199,12
Bihar,Kaimur (Bhabua),2025-05-31,1642217,273,642,22
Bihar,Kaimur (Bhabua),2025-06-30,821109,165,536,10
Bihar,Kaimur (Bhabua),2025-07-31,821108,264,420,10
Bihar,Kaimur (Bhabua),2025-09-30,204840183,778,1343,4
Bihar,Kaimur (Bhabua),2025-10-31,80278588,340,443,12
Bihar,Katihar,2025-05-31,854105,270,215,10
Bihar,Katihar,2025-06-30,2562327,488,463,34
Bihar,Katihar,2025-09-30,427164771,3631,1724,6
Bihar,Katihar,2025-10-31,160614064,1986,685,18
Bihar,Khagaria,2025-09-30,297841392,1480,1497,30
Bihar,Khagaria,2025-10-31,114889583,654,588,11
Bihar,Kishanganj,2025-09-30,159900183,2368,664,3
Bihar,Kishanganj,2025-10-31,66694699,1718,418,6
Bihar,Lakhisarai,2025-06-30,811311,298,478,10
Bihar,Lakhisarai,2025-07-31,1622613,607,972,29
Bihar,Lakhisarai,2025-09-30,152513241,523,622,6
Bihar,Lakhisarai,2025-10-31,56786720,201,208,15
Bihar,Madhepura,2025-09-30,319570483,1368,1485,15
Bihar,Madhepura,2025-10-31,126124497,825,771,7
Bihar,Madhubani,2025-03-31,2541637,46,235,49
Bihar,Madhubani,2025-04-30,2541761,388,485,60
Bihar,Madhubani,2025-05-31,4236292,874,995,102
Bihar,Madhubani,2025-06-30,5083616,876,1379,170
Bihar,Madhubani,2025-07-31,3388980,858,1181,102
Bihar,Madhubani,2025-09-30,761656386,2590,2425,86
Bihar,Madhubani,2025-10-31,341435206,1927,1495,83
Bihar,Monghyr,2025-09-30,11358906,8,8,0
Bihar,Monghyr,2025-10-31,4056042,2,3,0
Bihar,Munger,2025-04-30,811213,191,278,22
Bihar,Munger,2025-06-30,811213,117,279,10
Bihar,Munger,2025-07-31,811213,241,445,13
Bihar,Munger,2025-09-30,195689955,640,964,11
Bihar,Munger,2025-10-31,73081728,295,356,21
Bihar,Muzaffarpur,2025-03-31,842002,24,40,10
Bihar,Muzaffarpur,2025-04-30,4214361,1159,865,65
Bihar,Muzaffarpur,2025-05-31,8427798,2161,2046,159
Bihar,Muzaffarpur,2025-06-30,7584682,1562,2080,140
Bihar,Muzaffarpur,2025-07-31,2529345,892,1217,40
Bihar,Muzaffarpur,2025-09-30,873541560,2712,2717,15
Bihar,Muzaffarpur,2025-10-31,354998352,1271,1220,63
Bihar,Nalanda,2025-06-30,1608231,307,1153,37
Bihar,Nalanda,2025-07-31,1608231,434,1587,37
Bihar,Nalanda,2025-09-30,503827728,912,2759,16
