state,district,date,udr,udr_level
Andhra Pradesh,Mahbubnagar,2025-10-31,2.746031746031746,High Dependency
Andhra Pradesh,Medak,2025-09-30,7.821818181818182,High Dependency
Andhra Pradesh,Medak,2025-10-31,1.981651376146789,High Dependency
Andhra Pradesh,N. T. R,2025-09-30,8.447457627118643,High Dependency
Andhra Pradesh,N. T. R,2025-10-31,5.833333333333333,High Dependency
Andhra Pradesh,Nalgonda,2025-09-30,13.700413223140496,High Dependency
Andhra Pradesh,Nalgonda,2025-10-31,5.335078534031414,High Dependency
Andhra Pradesh,Nandyal,2025-09-30,5.439130434782609,High Dependency
Andhra Pradesh,Nandyal,2025-10-31,2.85,High Dependency
Andhra Pradesh,Nellore,2025-09-30,6.815923207227555,High Dependency
Andhra Pradesh,Nellore,2025-10-31,2.316618911174785,High Dependency
Andhra Pradesh,Nizamabad,2025-09-30,8.394871794871795,High Dependency
Andhra Pradesh,Nizamabad,2025-10-31,1.641304347826087,High Dependency
Andhra Pradesh,Palnadu,2025-09-30,4.176056338028169,High Dependency
Andhra Pradesh,Palnadu,2025-10-31,3.5137614678899083,High Dependency
Andhra Pradesh,Parvathipuram Manyam,2025-09-30,4.870056497175141,High Dependency
Andhra Pradesh,Parvathipuram Manyam,2025-10-31,2.4691358024691357,High Dependency
Andhra Pradesh,Prakasam,2025-07-31,81.72151898734177,High Dependency
Andhra Pradesh,Prakasam,2025-09-30,6.046857567869096,High Dependency
Andhra Pradesh,Prakasam,2025-10-31,2.7139938712972422,High Dependency
Andhra Pradesh,Rangareddi,2025-09-30,10.501577287066246,High Dependency
Andhra Pradesh,Rangareddi,2025-10-31,1.7781569965870307,High Dependency
Andhra Pradesh,Spsr Nellore,2025-03-31,0.0,Low Dependency
Andhra Pradesh,Spsr Nellore,2025-06-30,0.0,Low Dependency
Andhra Pradesh,Spsr Nellore,2025-07-31,0.0,Low Dependency
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09-30,3.0448028673835124,High Dependency
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10-31,1.8341013824884793,High Dependency
Andhra Pradesh,Sri Sathya Sai,2025-09-30,5.034220532319392,High Dependency
Andhra Pradesh,Sri Sathya Sai,2025-10-31,3.946564885496183,High Dependency
Andhra Pradesh,Srikakulam,2025-09-30,9.758052970651395,High Dependency
Andhra Pradesh,Srikakulam,2025-10-31,4.175122749590835,High Dependency
Andhra Pradesh,Tirupati,2025-09-30,2.978930307941653,High Dependency
Andhra Pradesh,Tirupati,2025-10-31,3.8346456692913384,High Dependency
Andhra Pradesh,Visakhapatanam,2025-06-30,0.0,Low Dependency
Andhra Pradesh,Visakhapatnam,2025-09-30,9.62406899255194,High Dependency
Andhra Pradesh,Visakhapatnam,2025-10-31,2.3669565217391306,High Dependency
Andhra Pradesh,Vizianagaram,2025-09-30,8.608964451313756,High Dependency
Andhra Pradesh,Vizianagaram,2025-10-31,2.7796296296296297,High Dependency
Andhra Pradesh,Warangal,2025-09-30,21.894601542416453,High Dependency
Andhra Pradesh,Warangal,2025-10-31,4.515625,High Dependency
Andhra Pradesh,West Godavari,2025-09-30,8.706733167082295,High Dependency
Andhra Pradesh,West Godavari,2025-10-31,2.6819407008086253,High Dependency
Andhra Pradesh,Y. S. R,2025-09-30,6.227091633466135,High Dependency
Andhra Pradesh,Y. S. R,2025-10-31,3.488888888888889,High Dependency
Arunachal Pradesh,Anjaw,2025-09-30,7.428571428571429,High Dependency
Arunachal Pradesh,Anjaw,2025-10-31,12.0,High Dependency
Arunachal Pradesh,Changlang,2025-09-30,4.9207459207459205,High Dependency
Arunachal Pradesh,Changlang,2025-10-31,0.9259259259259259,Medium Dependency
Arunachal Pradesh,Dibang Valley,2025-09-30,9.25,High Dependency
Arunachal Pradesh,Dibang Valley,2025-10-31,0.6666666666666666,Medium Dependency
Arunachal Pradesh,East Kameng,2025-09-30,13.93421052631579,High Dependency
Arunachal Pradesh,East Kameng,2025-10-31,2.4482758620689653,High Dependency
Arunachal Pradesh,East Siang,2025-09-30,7.714285714285714,High Dependency
Arunachal Pradesh,East Siang,2025-10-31,7.9,High Dependency
Arunachal Pradesh,Kamle,2025-09-30,6.05,High Dependency
Arunachal Pradesh,Kamle,2025-10-31,0.0,Low Dependency
Arunachal Pradesh,Kra Daadi,2025-09-30,4.794117647058823,High Dependency
Arunachal Pradesh,Kra Daadi,2025-10-31,0.6153846153846154,Medium Dependency
Arunachal Pradesh,Kurung Kumey,2025-09-30,12.461538461538462,High Dependency
Arunachal Pradesh,Kurung Kumey,2025-10-31,3.1,High Dependency
Arunachal Pradesh,Leparada,2025-09-30,5.0,High Dependency
Arunachal Pradesh,Lohit,2025-09-30,11.166666666666666,High Dependency
Arunachal Pradesh,Lohit,2025-10-31,2.619047619047619,High Dependency
Arunachal Pradesh,Longding,2025-07-31,0.8428927680798005,Medium Dependency
Arunachal Pradesh,Longding,2025-09-30,1.6515151515151516,High Dependency
Arunachal Pradesh,Longding,2025-10-31,0.4444444444444444,Low Dependency
Arunachal Pradesh,Lower Dibang Valley,2025-09-30,7.488372093023256,High Dependency
Arunachal Pradesh,Lower Dibang Valley,2025-10-31,2.6842105263157894,High Dependency
Arunachal Pradesh,Lower Siang,2025-09-30,6.5,High Dependency
Arunachal Pradesh,Lower Siang,2025-10-31,1.6666666666666667,High Dependency
Arunachal Pradesh,Lower Subansiri,2025-09-30,10.727272727272727,High Dependency
Arunachal Pradesh,Lower Subansiri,2025-10-31,3.0,High Dependency
Arunachal Pradesh,Namsai,2025-09-30,9.524590163934427,High Dependency
Arunachal Pradesh,Namsai,2025-10-31,1.4666666666666666,Medium Dependency
Arunachal Pradesh,Pakke Kessang,2025-09-30,15.5,High Dependency
Arunachal Pradesh,Pakke Kessang,2025-10-31,3.0,High Dependency
Arunachal Pradesh,Papum Pare,2025-09-30,9.622641509433961,High Dependency
Arunachal Pradesh,Papum Pare,2025-10-31,1.6470588235294117,High Dependency
Arunachal Pradesh,Shi-yomi,2025-09-30,7.6,High Dependency
Arunachal Pradesh,Shi-yomi,2025-10-31,9.5,High Dependency
Arunachal Pradesh,Siang,2025-09-30,2.2972972972972974,High Dependency
Arunachal Pradesh,Siang,2025-10-31,0.8,Medium Dependency
Arunachal Pradesh,Tawang,2025-09-30,2.9714285714285715,High Dependency
Arunachal Pradesh,Tawang,2025-10-31,2.473684210526316,High Dependency
Arunachal Pradesh,Tirap,2025-09-30,9.038461538461538,High Dependency
Arunachal Pradesh,Tirap,2025-10-31,3.2857142857142856,High Dependency
Arunachal Pradesh,Upper Siang,2025-09-30,21.133333333333333,High Dependency
Arunachal Pradesh,Upper Siang,2025-10-31,8.0,High Dependency
Arunachal Pradesh,Upper Subansiri,2025-09-30,8.607142857142858,High Dependency
Arunachal Pradesh,Upper Subansiri,2025-10-31,1.0,Medium Dependency
Arunachal Pradesh,West Kameng,2025-07-31,7.120481927710843,High Dependency
Arunachal Pradesh,West Kameng,2025-09-30,8.792682926829269,High Dependency
Arunachal Pradesh,West Kameng,2025-10-31,2.4411764705882355,High Dependency
Arunachal Pradesh,West Siang,2025-09-30,12.1875,High Dependency
Arunachal Pradesh,West Siang,2025-10-31,1.6129032258064515,High Dependency
Assam,Bajali,2025-09-30,7.666666666666667,High Dependency
Assam,Bajali,2025-10-31,9.0,High Dependency
Assam,Baksa,2025-03-31,98.8157894736842,High Dependency
Assam,Baksa,2025-04-30,2.849721706864564,High Dependency
Assam,Baksa,2025-05-31,24.317073170731707,High Dependency
Assam,Baksa,2025-06-30,21.923076923076923,High Dependency
Assam,Baksa,2025-07-31,6.3545454545454545,High Dependency
Assam,Baksa,2025-09-30,2.68688293370945,High Dependency
Assam,Baksa,2025-10-31,1.2127659574468086,Medium Dependency
Assam,Barpeta,2025-03-31,220.44117647058823,High Dependency
Assam,Barpeta,2025-04-30,55.669767441860465,High Dependency
Assam,Barpeta,2025-05-31,55.595628415300546,High Dependency
Assam,Barpeta,2025-06-30,6.422391857506361,High Dependency
Assam,Barpeta,2025-07-31,1.6445659603554341,High Dependency
Assam,Barpeta,2025-09-30,3.813884386817936,High Dependency
Assam,Barpeta,2025-10-31,1.416159860990443,Medium Dependency
Assam,Biswanath,2025-04-30,7.144,High Dependency
Assam,Biswanath,2025-09-30,5.0207715133531154,High Dependency
Assam,Biswanath,2025-10-31,2.8686131386861313,High Dependency
Assam,Bongaigaon,2025-03-31,96.92134831460675,High Dependency
Assam,Bongaigaon,2025-04-30,19.869918699186993,High Dependency
Assam,Bongaigaon,2025-05-31,19.90963855421687,High Dependency
Assam,Bongaigaon,2025-06-30,41.0655737704918,High Dependency
Assam,Bongaigaon,2025-07-31,18.462046204620464,High Dependency
Assam,Bongaigaon,2025-09-30,4.523862375138735,High Dependency
Assam,Bongaigaon,2025-10-31,2.26953125,High Dependency
Assam,Cachar,2025-04-30,7.064645308924485,High Dependency
Assam,Cachar,2025-06-30,2.7340686274509802,High Dependency
Assam,Cachar,2025-07-31,1.4427038991997276,Medium Dependency
Assam,Cachar,2025-09-30,3.458850707479064,High Dependency
Assam,Cachar,2025-10-31,1.6772260273972603,High Dependency
Assam,Charaideo,2025-04-30,1.8065573770491803,High Dependency
Assam,Charaideo,2025-05-31,11.86,High Dependency
Assam,Charaideo,2025-09-30,8.013377926421406,High Dependency
Assam,Charaideo,2025-10-31,3.3333333333333335,High Dependency
Assam,Chirang,2025-03-31,44.5,High Dependency
Assam,Chirang,2025-04-30,5.696649029982363,High Dependency
Assam,Chirang,2025-07-31,1.7280366692131397,High Dependency
Assam,Chirang,2025-09-30,3.6614481409001955,High Dependency
Assam,Chirang,2025-10-31,3.063380281690141,High Dependency
Assam,Darrang,2025-04-30,3.867879746835443,High Dependency
Assam,Darrang,2025-05-31,5.176339285714286,High Dependency
Assam,Darrang,2025-06-30,21.581632653061224,High Dependency
Assam,Darrang,2025-07-31,11.089494163424124,High Dependency
Assam,Darrang,2025-09-30,2.6748878923766815,High Dependency
Assam,Darrang,2025-10-31,0.8272604588394062,Medium Dependency
Assam,Dhemaji,2025-03-31,66.03529411764706,High Dependency
Assam,Dhemaji,2025-04-30,5.341523341523342,High Dependency
Assam,Dhemaji,2025-05-31,2.8984771573604062,High Dependency
Assam,Dhemaji,2025-06-30,4.5474683544303796,High Dependency
Assam,Dhemaji,2025-07-31,0.8254531126871553,Medium Dependency
Assam,Dhemaji,2025-09-30,4.3841059602649,High Dependency
Assam,Dhemaji,2025-10-31,1.2821011673151752,Medium Dependency
Assam,Dhubri,2025-03-31,31.04326923076923,High Dependency
Assam,Dhubri,2025-04-30,6.358545034642033,High Dependency
Assam,Dhubri,2025-06-30,8.721100917431192,High Dependency
Assam,Dhubri,2025-07-31,8.41282746160795,High Dependency
Assam,Dhubri,2025-09-30,2.9409767563332463,High Dependency
Assam,Dhubri,2025-10-31,1.0484511517077044,Medium Dependency
Assam,Dibrugarh,2025-03-31,148.72222222222223,High Dependency
Assam,Dibrugarh,2025-04-30,9.990272373540856,High Dependency
Assam,Dibrugarh,2025-05-31,7.671875,High Dependency
Assam,Dibrugarh,2025-06-30,3.8264094955489614,High Dependency
Assam,Dibrugarh,2025-07-31,1.5233494363929148,High Dependency
Assam,Dibrugarh,2025-09-30,5.114851485148515,High Dependency
Assam,Dibrugarh,2025-10-31,1.8198198198198199,High Dependency
Assam,Dima Hasao,2025-06-30,0.0,Low Dependency
Assam,Dima Hasao,2025-07-31,0.0,Low Dependency
Assam,Dima Hasao,2025-09-30,1.5384615384615385,High Dependency
Assam,Dima Hasao,2025-10-31,1.25,Medium Dependency
Assam,Goalpara,2025-04-30,2.9948453608247423,High Dependency
Assam,Goalpara,2025-05-31,2.4609475032010244,High Dependency
Assam,Goalpara,2025-06-30,23.775,High Dependency
Assam,Goalpara,2025-07-31,1.3799171842650104,Medium Dependency
Assam,Goalpara,2025-09-30,2.4585661080074486,High Dependency
Assam,Goalpara,2025-10-31,1.34412265758092,Medium Dependency
Assam,Golaghat,2025-04-30,1.626545754328112,High Dependency
Assam,Golaghat,2025-05-31,0.855072463768116,Medium Dependency
Assam,Golaghat,2025-06-30,1.291699604743083,Medium Dependency
Assam,Golaghat,2025-07-31,0.6318823868550014,Medium Dependency
Assam,Golaghat,2025-09-30,2.9285714285714284,High Dependency
Assam,Golaghat,2025-10-31,1.973809523809524,High Dependency
Assam,Hailakandi,2025-04-30,3.5572354211663066,High Dependency
Assam,Hailakandi,2025-07-31,4.563976377952756,High Dependency
Assam,Hailakandi,2025-09-30,2.447845804988662,High Dependency
Assam,Hailakandi,2025-10-31,1.2613430127041743,Medium Dependency
Assam,Hojai,2025-03-31,43.8876404494382,High Dependency
Assam,Hojai,2025-04-30,3.789426523297491,High Dependency
Assam,Hojai,2025-06-30,5.1401098901098905,High Dependency
Assam,Hojai,2025-07-31,1.365991521431936,Medium Dependency
Assam,Hojai,2025-09-30,3.6045392022008254,High Dependency
Assam,Hojai,2025-10-31,1.7545871559633028,High Dependency
Assam,Jorhat,2025-04-30,2.8615384615384616,High Dependency
Assam,Jorhat,2025-05-31,23.462962962962962,High Dependency
Assam,Jorhat,2025-06-30,19.125,High Dependency
Assam,Jorhat,2025-07-31,1.4587892049598834,Medium Dependency
Assam,Jorhat,2025-09-30,3.542270531400966,High Dependency
Assam,Jorhat,2025-10-31,1.3460674157303372,Medium Dependency
Assam,Kamrup,2025-03-31,112.84782608695652,High Dependency
Assam,Kamrup,2025-04-30,6.972054380664653,High Dependency
Assam,Kamrup,2025-05-31,2.8533494266747135,High Dependency
Assam,Kamrup,2025-06-30,14.004830917874395,High Dependency
Assam,Kamrup,2025-07-31,1.272870662460568,Medium Dependency
Assam,Kamrup,2025-09-30,3.2656,High Dependency
Assam,Kamrup,2025-10-31,1.2802303262955854,Medium Dependency
Assam,Kamrup Metro,2025-04-30,4.941242937853107,High Dependency
Assam,Kamrup Metro,2025-05-31,19.191358024691358,High Dependency
Assam,Kamrup Metro,2025-06-30,12.28735632183908,High Dependency
Assam,Kamrup Metro,2025-07-31,6.345776031434185,High Dependency
Assam,Kamrup Metro,2025-09-30,3.8006644518272426,High Dependency
Assam,Kamrup Metro,2025-10-31,0.6628407460545194,Medium Dependency
Assam,Karbi Anglong,2025-04-30,2.1387130801687766,High Dependency
Assam,Karbi Anglong,2025-05-31,1.618628359592215,High Dependency
Assam,Karbi Anglong,2025-09-30,3.8277812696417346,High Dependency
Assam,Karbi Anglong,2025-10-31,1.9029126213592233,High Dependency
Assam,Karimganj,2025-04-30,3.3990243902439023,High Dependency
Assam,Karimganj,2025-05-31,2.867279894875164,High Dependency
Assam,Karimganj,2025-06-30,3.4609250398724085,High Dependency
Assam,Karimganj,2025-07-31,0.9157994323557237,Medium Dependency
Assam,Karimganj,2025-09-30,1.4582190072337242,Medium Dependency
Assam,Karimganj,2025-10-31,1.2751479289940828,Medium Dependency
Assam,Kokrajhar,2025-03-31,17.176470588235293,High Dependency
Assam,Kokrajhar,2025-04-30,10.315602836879433,High Dependency
Assam,Kokrajhar,2025-05-31,5.608108108108108,High Dependency
Assam,Kokrajhar,2025-06-30,8.560975609756097,High Dependency
Assam,Kokrajhar,2025-07-31,4.142361111111111,High Dependency
Assam,Kokrajhar,2025-09-30,3.3720626631853787,High Dependency
Assam,Kokrajhar,2025-10-31,1.1166666666666667,Medium Dependency
Assam,Lakhimpur,2025-03-31,68.14851485148515,High Dependency
Assam,Lakhimpur,2025-04-30,5.5700280112044815,High Dependency
Assam,Lakhimpur,2025-05-31,3.3279785809906293,High Dependency
Assam,Lakhimpur,2025-06-30,3.4988913525498893,High Dependency
Assam,Lakhimpur,2025-07-31,2.813391877058178,High Dependency
Assam,Lakhimpur,2025-09-30,3.066553863508178,High Dependency
Assam,Lakhimpur,2025-10-31,1.9447415329768272,High Dependency
Assam,Majuli,2025-07-31,2.257142857142857,High Dependency
Assam,Majuli,2025-09-30,3.684848484848485,High Dependency
Assam,Majuli,2025-10-31,2.3783783783783785,High Dependency
Assam,Marigaon,2025-03-31,13.065934065934066,High Dependency
Assam,Marigaon,2025-04-30,5.690759377859103,High Dependency
Assam,Marigaon,2025-05-31,6.349206349206349,High Dependency
Assam,Marigaon,2025-06-30,2.8038461538461537,High Dependency
Assam,Marigaon,2025-07-31,1.8487629688747007,High Dependency
Assam,Marigaon,2025-09-30,3.3210884353741497,High Dependency
Assam,Marigaon,2025-10-31,1.1809815950920246,Medium Dependency
Assam,Nagaon,2025-03-31,237.58928571428572,High Dependency
Assam,Nagaon,2025-04-30,17.67139175257732,High Dependency
Assam,Nagaon,2025-06-30,47.006410256410255,High Dependency
Assam,Nagaon,2025-07-31,5.69297520661157,High Dependency
Assam,Nagaon,2025-09-30,4.677343382006595,High Dependency
Assam,Nagaon,2025-10-31,2.3412098298676747,High Dependency
Assam,Nalbari,2025-04-30,9.685082872928177,High Dependency
Assam,Nalbari,2025-05-31,4.430894308943089,High Dependency
Assam,Nalbari,2025-09-30,3.2972181551976574,High Dependency
Assam,Nalbari,2025-10-31,1.2627118644067796,Medium Dependency
Assam,North Cachar Hills,2025-04-30,0.6838235294117647,Medium Dependency
Assam,North Cachar Hills,2025-05-31,4.259740259740259,High Dependency
Assam,North Cachar Hills,2025-09-30,7.65,High Dependency
Assam,North Cachar Hills,2025-10-31,0.6818181818181818,Medium Dependency
Assam,Sibsagar,2025-04-30,1.7357512953367875,High Dependency
Assam,Sibsagar,2025-05-31,4.182222222222222,High Dependency
Assam,Sibsagar,2025-09-30,4.102996254681648,High Dependency
Assam,Sibsagar,2025-10-31,0.9975,Medium Dependency
Assam,Sivasagar,2025-06-30,0.0,Low Dependency
Assam,Sivasagar,2025-07-31,0.0,Low Dependency
Assam,Sonitpur,2025-03-31,82.72839506172839,High Dependency
Assam,Sonitpur,2025-04-30,11.620967741935484,High Dependency
Assam,Sonitpur,2025-05-31,11.944664031620553,High Dependency
Assam,Sonitpur,2025-06-30,7.552816901408451,High Dependency
Assam,Sonitpur,2025-07-31,2.6388349514563108,High Dependency
Assam,Sonitpur,2025-09-30,2.58281665190434,High Dependency
Assam,Sonitpur,2025-10-31,1.4896174863387979,Medium Dependency
Assam,South Salmara Mankachar,2025-04-30,1.6915584415584415,High Dependency
Assam,South Salmara Mankachar,2025-09-30,4.439583333333333,High Dependency
Assam,South Salmara Mankachar,2025-10-31,2.302325581395349,High Dependency
Assam,Sribhumi,2025-09-30,7.956521739130435,High Dependency
Assam,Sribhumi,2025-10-31,5.157894736842105,High Dependency
Assam,Tamulpur District,2025-09-30,7.933333333333334,High Dependency
Assam,Tamulpur District,2025-10-31,5.444444444444445,High Dependency
Assam,Tinsukia,2025-03-31,13.687323943661973,High Dependency
Assam,Tinsukia,2025-04-30,2.1291624621594347,High Dependency
Assam,Tinsukia,2025-05-31,3.2466666666666666,High Dependency
Assam,Tinsukia,2025-07-31,1.1120861587554847,Medium Dependency
Assam,Tinsukia,2025-09-30,3.109265734265734,High Dependency
Assam,Tinsukia,2025-10-31,2.9377880184331797,High Dependency
Assam,Udalguri,2025-03-31,57.888888888888886,High Dependency
Assam,Udalguri,2025-04-30,2.8964601769911504,High Dependency
Assam,Udalguri,2025-05-31,3.7751371115173673,High Dependency
Assam,Udalguri,2025-09-30,3.175,High Dependency
Assam,Udalguri,2025-10-31,1.3375314861460956,Medium Dependency
Assam,West Karbi Anglong,2025-04-30,0.7246376811594203,Medium Dependency
Assam,West Karbi Anglong,2025-05-31,0.6729323308270677,Medium Dependency
Assam,West Karbi Anglong,2025-06-30,0.3525423728813559,Low Dependency
Assam,West Karbi Anglong,2025-07-31,0.5,Medium Dependency
Assam,West Karbi Anglong,2025-09-30,4.162011173184357,High Dependency
Assam,West Karbi Anglong,2025-10-31,0.85,Medium Dependency
Bihar,Araria,2025-06-30,7.872315035799523,High Dependency
Bihar,Araria,2025-07-31,60.864583333333336,High Dependency
Bihar,Araria,2025-09-30,5.742413381123058,High Dependency
Bihar,Araria,2025-10-31,1.990063233965673,High Dependency
Bihar,Arwal,2025-05-31,15.248803827751196,High Dependency
Bihar,Arwal,2025-07-31,7.1702970297029704,High Dependency
Bihar,Arwal,2025-09-30,4.6364477335800185,High Dependency
Bihar,Arwal,2025-10-31,0.6451077943615257,Medium Dependency
Bihar,Aurangabad,2025-09-30,5.33376,High Dependency
Bihar,Aurangabad,2025-10-31,1.2867688813174332,Medium Dependency
Bihar,Aurangabad(BH),2025-09-30,3.0,High Dependency
Bihar,Aurangabad(bh),2025-09-30,3.3421052631578947,High Dependency
Bihar,Aurangabad(bh),2025-10-31,2.5833333333333335,High Dependency
Bihar,Banka,2025-06-30,10.177435897435897,High Dependency
Bihar,Banka,2025-07-31,23.6588785046729,High Dependency
Bihar,Banka,2025-09-30,5.77074391988555,High Dependency
Bihar,Banka,2025-10-31,1.038089823763502,Medium Dependency
Bihar,Begusarai,2025-07-31,22.37007874015748,High Dependency
Bihar,Begusarai,2025-09-30,5.775045301579084,High Dependency
Bihar,Begusarai,2025-10-31,1.252768415984593,Medium Dependency
Bihar,Bhabua,2025-09-30,1.6,High Dependency
Bihar,Bhabua,2025-10-31,0.14285714285714285,Low Dependency
Bihar,Bhagalpur,2025-03-31,554.3661971830986,High Dependency
Bihar,Bhagalpur,2025-04-30,22.001615508885298,High Dependency
Bihar,Bhagalpur,2025-05-31,5.3826322930800545,High Dependency
Bihar,Bhagalpur,2025-06-30,3.5625974025974028,High Dependency
Bihar,Bhagalpur,2025-07-31,33.175942549371634,High Dependency
Bihar,Bhagalpur,2025-09-30,5.60933536276002,High Dependency
Bihar,Bhagalpur,2025-10-31,1.670335429769392,High Dependency
Bihar,Bhojpur,2025-07-31,14.74726609963548,High Dependency
Bihar,Bhojpur,2025-09-30,7.480159862974594,High Dependency
Bihar,Bhojpur,2025-10-31,1.5973370064279155,High Dependency
Bihar,Buxar,2025-09-30,3.8405797101449277,High Dependency
Bihar,Buxar,2025-10-31,1.6486486486486487,High Dependency
Bihar,Darbhanga,2025-06-30,45.580357142857146,High Dependency
Bihar,Darbhanga,2025-09-30,5.2562785388127855,High Dependency
Bihar,Darbhanga,2025-10-31,1.3298611111111112,Medium Dependency
Bihar,East Champaran,2025-04-30,8.511105626850938,High Dependency
Bihar,East Champaran,2025-05-31,5.222715173025732,High Dependency
Bihar,East Champaran,2025-09-30,5.091159460203801,High Dependency
Bihar,East Champaran,2025-10-31,2.1011804384485666,High Dependency
Bihar,Gaya,2025-04-30,17.327604726100965,High Dependency
Bihar,Gaya,2025-05-31,8.470435908502374,High Dependency
Bihar,Gaya,2025-06-30,9.873217115689382,High Dependency
Bihar,Gaya,2025-07-31,6.678704856787048,High Dependency
Bihar,Gaya,2025-09-30,5.323425336164189,High Dependency
Bihar,Gaya,2025-10-31,0.9987623762376238,Medium Dependency
Bihar,Gopalganj,2025-05-31,14.369349503858876,High Dependency
